Serial_No,Device,DaysMonitored,TonerYPerDay,PpY,BCYMPerDay,CostPerBCYM,PpC,TonerBKPerDay,PpBK,PpM,CostPerBW,TonerCPerDay,TonerMPerDay,BWPerDay
E74552K5J157940,Brother MFC-9142CDN,42,0.71,1496.66,10.69,0.187,2245.0,1.42,1045.0,1122.5,0.048,0.47,0.95,4.23
E79028F1N485578,Brother MFC-L3750CDW,450,0.11,1082.0,1.2,0.174,1352.5,0.22,2524.0,2705.0,0.025,0.08,0.04,4.4
LW16945225,Kyocera ECOSYS M2535dn,373,NaN,NaN,NaN,NaN,NaN,0.3,6468.75,NaN,0.011,NaN,NaN,19.42
E79032E1N463928,Brother MFC-L3770CDW,450,0.11,1032.0,1.14,0.261,1032.0,0.11,1330.0,1032.0,0.048,0.11,0.11,0.33
R4Q8X09105,Kyocera ECOSYS M3655idn,449,NaN,NaN,NaN,NaN,NaN,0.98,22546.83,NaN,0.004,NaN,NaN,221.95
L875533842,Kyocera TASKalfa 3051ci,281,0.75,10439.15,78.75,0.028,8852.4,0.62,17715.9,14370.77,0.003,0.88,0.54,32.2
E79028J1N561453,Brother MFC-L3750CDW,444,0.63,2532.5,15.97,0.122,2026.0,0.83,2244.86,2532.5,0.028,0.78,0.63,2.73
W2J8718679,Kyocera TASKalfa 5052ci,374,0.22,32031.76,72.79,0.009,29276.34,0.4,34972.36,38347.88,0.001,0.24,0.18,69.33
N2E3508435,Kyocera TASKalfa 4550ci,113,0.47,35722.22,170.7,0.011,26424.65,0.41,42853.19,38580.0,0.001,0.64,0.44,7.53
RC68600478,Kyocera ECOSYS M6635cidn,423,0.1,26930.43,29.28,0.026,25281.63,0.21,15979.56,25808.33,0.008,0.11,0.11,5.84
VNN8710351,Kyocera TASKalfa 4002i,374,NaN,NaN,NaN,NaN,NaN,0.28,49828.97,NaN,0.002,NaN,NaN,142.55
RC69604720,Kyocera ECOSYS M6635cidn,423,0.02,10370.0,2.45,0.062,8641.66,0.04,9877.77,12962.5,0.013,0.02,0.01,1.75
RC69604927,Kyocera ECOSYS M6635cidn,231,0.02,6733.33,1.74,0.092,5771.42,0.01,11275.0,6733.33,0.012,0.03,0.02,0.2
E71809E4J366792,Brother MFC-9140CDN,294,0.17,1256.0,2.13,0.174,1570.0,0.2,1698.33,1570.0,0.029,0.13,0.13,1.32
E74554L7J579217,Brother MFC-9332CDW,441,0.54,3742.91,20.36,0.067,4277.61,0.58,6200.76,2722.12,0.008,0.47,0.74,16.18
E73473G5J239722,Brother MFC-L8650CDW,441,0.2,3325.55,6.78,0.17,1662.77,0.24,3280.0,1662.77,0.015,0.4,0.4,1.39
E79028H1N561157,Brother MFC-L3750CDW,441,0.54,2453.33,13.35,0.124,1840.0,0.58,2441.15,2560.0,0.026,0.72,0.52,1.04
E79028J1N561471,Brother MFC-L3750CDW,441,0.43,1840.0,7.92,0.138,2056.47,0.4,2488.88,1942.22,0.025,0.38,0.4,2.23
E79015H9N609677,Brother DCP-L3510CDW,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,nan,NaN,NaN,NaN
E69498M0J145493,Brother MFC-9460CDN,315,0.76,2914.16,22.2,0.125,2497.85,1.11,3981.71,2797.6,0.012,0.88,0.79,22.03
RC61513399,Kyocera ECOSYS M6635cidn,423,0.29,10774.6,32.09,0.055,11313.33,0.57,14128.57,10860.8,0.009,0.28,0.29,49.73
E69498K0J129772,Brother MFC-9460CDN,437,0.57,1420.4,8.12,0.198,1690.95,0.75,2806.06,2219.37,0.017,0.48,0.36,13.06
E79028H9N631619,Brother MFC-L3750CDW,374,0.05,1780.0,0.95,0.236,890.0,0.4,2091.33,890.0,0.03,0.1,0.1,7.43
E79028J1N561477,Brother MFC-L3750CDW,374,0.37,2652.85,9.93,0.105,2476.0,0.4,2827.33,2652.85,0.022,0.4,0.37,1.4
E74552K5J157950,Brother MFC-9142CDN,433,0.39,2298.82,9.02,0.113,1860.95,0.39,2788.82,2298.82,0.017,0.48,0.39,1.92
E79028J1N561476,Brother MFC-L3750CDW,374,0.18,2291.42,4.28,0.118,2673.33,0.21,2362.5,2291.42,0.027,0.16,0.18,0.76
RC60609776,Kyocera ECOSYS M6635cidn,423,0.13,19437.93,26.65,0.033,23008.16,0.49,13968.72,18790.0,0.009,0.11,0.14,43.02
E79028J1N561465,Brother MFC-L3750CDW,437,0.52,1987.82,10.46,0.139,1987.82,0.59,2137.3,1987.82,0.029,0.52,0.52,2.25
QQX9600567,Kyocera FS-1028MFP,365,NaN,NaN,NaN,NaN,NaN,0.03,6400.0,NaN,0.014,NaN,NaN,2.45
