TonerBK,TonerC,TonerM,TonerY,Printed_BW,Printed_BCYM,Copied_BW,Copied_BCYM,Status_Report,Time_Stamp
50,30,30,10,31924,47675,9194,3322,NaN,2022-01-03 14:07:14.676320
50,30,30,10,31924,47696,9194,3322,NaN,2022-01-03 16:34:24.863041
50,30,30,10,31924,47708,9196,3334,NaN,2022-01-04 08:44:39.052998
50,30,30,10,31924,47708,9196,3334,NaN,2022-01-04 09:49:47.187934
50,30,30,10,31930,47708,9196,3334,NaN,2022-01-04 10:22:31.625617
50,30,30,10,31938,47716,9208,3335,NaN,2022-01-05 12:43:04.232564
50,30,30,10,31939,47749,9217,3336,NaN,2022-01-06 12:30:12.815949
50,30,30,10,31939,47749,9217,3336,NaN,2022-01-06 13:02:05.561447
50,30,30,10,31939,47749,9217,3337,NaN,2022-01-06 14:35:26.860235
40,30,30,10,32013,47749,9230,3337,NaN,2022-01-06 15:05:26.371621
40,30,30,10,32013,47749,9230,3337,NaN,2022-01-06 16:05:45.675047
40,30,30,10,32014,47749,9236,3337,NaN,2022-01-07 11:34:08.867887
40,30,30,10,32014,47749,9236,3340,NaN,2022-01-07 13:21:00.665644
40,30,30,10,32014,47749,9237,3340,NaN,2022-01-07 14:56:16.706747
40,30,30,10,32151,47759,9260,3342,NaN,2022-01-11 09:52:15.204266
40,30,30,10,32151,47759,9260,3342,NaN,2022-01-11 10:10:35.011130
40,30,30,10,32160,47786,9260,3342,NaN,2022-01-11 10:15:05.931961
30,30,30,10,32386,47786,9267,3342,NaN,2022-01-11 12:06:08.972677
30,30,30,10,32386,47786,9267,3342,NaN,2022-01-11 14:33:24.959183
30,30,30,10,32386,47786,9269,3342,NaN,2022-01-11 14:47:25.903030
30,30,30,10,32404,47786,9269,3342,NaN,2022-01-11 14:52:17.363661
30,30,30,10,32404,47786,9270,3342,NaN,2022-01-11 15:16:01.249353
30,30,30,10,32404,47786,9270,3343,NaN,2022-01-11 15:30:33.108415
30,30,30,0,32406,47792,9273,3359,NaN,2022-01-12 08:22:17.938483
30,30,30,0,32406,47792,9273,3359,NaN,2022-01-12 09:35:30.474390
30,30,30,0,32406,47792,9274,3359,NaN,2022-01-12 11:22:14.532682
30,30,30,0,32406,47793,9274,3359,NaN,2022-01-12 12:01:18.206070
30,30,30,0,32406,47793,9275,3359,NaN,2022-01-12 15:39:44.110418
30,30,30,0,32408,47793,9275,3359,NaN,2022-01-12 16:20:28.145280
30,30,30,100,32587,47989,9275,3362,NaN,2022-01-13 09:55:19.134444
30,30,30,100,32587,47989,9275,3363,NaN,2022-01-13 10:35:28.632876
30,30,30,100,32587,47989,9277,3363,NaN,2022-01-13 11:19:33.558330
30,30,20,100,32587,48003,9279,3369,NaN,2022-01-13 11:57:55.469381
30,30,20,100,32587,48006,9279,3369,NaN,2022-01-13 12:32:48.107988
20,20,20,100,32588,48090,9279,3369,NaN,2022-01-13 13:07:59.947481
20,20,20,100,32602,48115,9279,3369,NaN,2022-01-13 13:42:31.919850
20,20,20,100,32603,48115,9279,3369,NaN,2022-01-13 14:17:41.136658
20,20,20,100,32605,48115,9279,3369,NaN,2022-01-13 16:05:38.991673
20,20,20,100,32649,48121,9280,3369,NaN,2022-01-14 09:13:18.913154
20,20,20,100,32649,48123,9280,3369,NaN,2022-01-14 11:36:34.897621
20,20,20,100,32649,48123,9289,3369,NaN,2022-01-14 12:13:51.058578
20,20,20,100,32649,48123,9289,3371,NaN,2022-01-14 13:25:41.438580
20,20,20,100,32649,48123,9290,3371,NaN,2022-01-14 14:02:33.892054
20,20,20,100,32649,48123,9291,3371,NaN,2022-01-14 14:37:58.161380
20,20,20,100,32702,48131,9298,3373,NaN,2022-01-17 12:20:15.747915
20,20,20,100,32702,48131,9298,3373,NaN,2022-01-17 15:12:44.978209
20,20,20,100,32790,48131,9298,3374,NaN,2022-01-17 15:48:23.113932
20,20,20,100,32790,48131,9298,3374,NaN,2022-01-17 16:23:23.597677
10,20,20,100,33089,48131,9300,3374,NaN,2022-01-18 08:38:15.526371
10,20,20,100,33113,48132,9300,3374,NaN,2022-01-18 09:47:20.635248
10,20,20,100,33113,48132,9300,3374,NaN,2022-01-18 09:56:48.320404
10,20,20,100,33113,48132,9302,3374,NaN,2022-01-18 13:16:46.898827
10,20,20,100,33117,48132,9302,3374,NaN,2022-01-18 13:55:04.445792
10,20,20,100,33129,48132,9302,3374,NaN,2022-01-18 16:20:26.197298
10,20,20,100,33173,48132,9302,3374,NaN,2022-01-19 07:45:45.056512
10,20,20,100,33174,48133,9304,3374,NaN,2022-01-19 08:59:16.736881
10,20,20,90,33175,48139,9319,3387,NaN,2022-01-20 08:58:13.044887
10,20,20,90,33176,48146,9323,3387,NaN,2022-01-20 09:32:49.681295
10,20,20,90,33176,48146,9335,3387,NaN,2022-01-20 12:23:27.484793
0,20,20,90,33177,48191,9335,3387,NaN,2022-01-20 12:58:48.148304
0,20,20,90,33178,48237,9335,3388,NaN,2022-01-20 13:34:35.153568
0,20,20,90,33233,48237,9335,3388,NaN,2022-01-20 14:09:41.496147
0,20,20,90,33233,48237,9336,3388,NaN,2022-01-20 15:20:03.940454
0,20,20,90,33233,48239,9337,3388,NaN,2022-01-21 08:02:19.250671
0,20,20,90,33234,48242,9337,3388,NaN,2022-01-21 09:11:33.240906
0,20,20,90,33235,48242,9337,3388,NaN,2022-01-21 14:59:24.293650
0,20,20,90,33235,48242,9340,3388,NaN,2022-01-24 08:30:13.981429
0,20,20,90,33235,48242,9340,3390,NaN,2022-01-24 11:05:55.012791
0,20,20,90,33237,48242,9340,3390,NaN,2022-01-24 13:24:49.534756
0,20,20,90,33237,48242,9342,3390,NaN,2022-01-24 14:34:15.303474
0,20,20,90,33237,48242,9342,3391,NaN,2022-01-25 14:18:04.179755
0,20,20,90,33237,48242,9353,3391,NaN,2022-01-25 16:02:17.991865
0,20,20,90,33237,48243,9356,3391,NaN,2022-01-27 15:15:29.223716
0,20,20,90,33237,48243,9358,3391,NaN,2022-01-31 16:07:53.331500
0,20,20,90,33237,48245,9362,3393,NaN,2022-02-01 09:28:21.005622
0,20,20,90,33245,48245,9362,3393,NaN,2022-02-01 09:33:10.217086
0,20,20,90,33246,48245,9362,3393,NaN,2022-02-01 11:55:20.338408
0,20,20,90,33246,48246,9362,3394,NaN,2022-02-01 12:30:02.675622
0,20,20,90,33246,48247,9362,3397,NaN,2022-02-01 13:04:44.310156
0,20,20,90,33246,48248,9362,3397,NaN,2022-02-01 13:39:26.272857
0,20,20,90,33246,48248,9362,3405,NaN,2022-02-01 14:48:47.322110
0,20,20,90,33246,48248,9363,3405,NaN,2022-02-01 15:58:12.454872
0,20,20,90,33280,48309,9365,3405,NaN,2022-02-02 08:24:26.772759
100,20,20,90,33287,48309,9365,3405,NaN,2022-02-02 10:16:32.895075
100,20,20,90,33287,48314,9365,3406,NaN,2022-02-02 11:43:52.966609
100,20,20,90,33287,48316,9368,3406,NaN,2022-02-02 12:22:30.412754
100,20,20,90,33287,48316,9368,3407,NaN,2022-02-02 14:11:03.999097
100,20,20,90,33287,48318,9369,3407,NaN,2022-02-02 14:47:25.914885
100,20,20,90,33287,48319,9369,3414,NaN,2022-02-02 16:06:36.701811
100,20,20,90,33416,48339,9386,3426,NaN,2022-02-07 09:30:48.681340
100,20,20,90,33417,48339,9387,3426,NaN,2022-02-07 10:07:47.100505
100,20,20,90,33417,48339,9389,3426,NaN,2022-02-07 10:44:07.158328
100,20,20,90,33417,48339,9390,3426,NaN,2022-02-07 13:09:30.444125
100,20,20,90,33417,48340,9390,3426,NaN,2022-02-07 13:45:58.471003
100,20,20,90,33418,48343,9391,3426,NaN,2022-02-07 14:22:25.610969
100,20,20,90,33422,48343,9392,3426,NaN,2022-02-07 14:58:31.808549
100,20,20,90,33422,48343,9394,3426,NaN,2022-02-07 15:33:50.531624
100,20,20,90,33425,48343,9394,3426,NaN,2022-02-07 16:08:45.998574
100,20,20,80,33426,48348,9394,3440,NaN,2022-02-08 08:49:19.462247
100,20,20,80,33426,48352,9394,3440,NaN,2022-02-08 10:34:07.836085
100,20,20,80,33426,48352,9394,3441,NaN,2022-02-08 13:28:59.623505
100,20,20,80,33428,48357,9394,3441,NaN,2022-02-08 14:03:44.004150
100,20,20,80,33428,48358,9394,3441,NaN,2022-02-08 16:22:51.044774
100,20,20,80,33428,48360,9397,3441,NaN,2022-02-09 09:22:59.859841
100,20,20,80,33432,48360,9410,3442,NaN,2022-02-09 09:58:39.107113
100,20,20,80,33432,48360,9411,3442,NaN,2022-02-09 11:09:49.399555
100,20,20,80,33433,48361,9412,3442,NaN,2022-02-09 11:44:50.644654
100,20,20,80,33438,48362,9412,3442,NaN,2022-02-09 13:29:45.008329
90,20,20,80,33482,48362,9412,3442,NaN,2022-02-09 14:04:31.458948
90,20,20,80,33562,48362,9412,3442,NaN,2022-02-09 14:39:25.056605
90,20,20,80,33562,48362,9414,3442,NaN,2022-02-09 15:49:02.062567
90,20,20,80,33562,48364,9414,3442,NaN,2022-02-09 16:23:50.330328
90,20,20,80,33620,48367,9420,3442,NaN,2022-02-10 12:34:13.722487
90,20,20,80,33620,48371,9420,3442,NaN,2022-02-10 15:28:47.045689
90,20,20,80,33627,48371,9422,3442,NaN,2022-02-10 16:03:32.816413
90,20,20,80,33627,48376,9425,3451,NaN,2022-02-11 11:00:39.906948
90,20,20,80,33627,48376,9426,3451,NaN,2022-02-11 11:35:36.461384
90,20,20,80,33663,48376,9428,3451,NaN,2022-02-11 12:11:40.567889
90,20,20,80,33715,48376,9428,3451,NaN,2022-02-11 12:46:47.065334
90,20,20,80,33717,48376,9428,3451,NaN,2022-02-11 13:57:27.883251
90,20,20,80,33718,48376,9428,3451,NaN,2022-02-11 14:32:38.664859
90,10,10,80,33720,48424,9430,3451,NaN,2022-02-14 11:13:42.974289
80,10,10,80,33721,48445,9430,3452,NaN,2022-02-14 12:23:36.248026
80,10,10,80,33721,48445,9430,3453,NaN,2022-02-14 12:58:37.064844
80,10,10,80,33722,48466,9430,3453,NaN,2022-02-14 15:55:15.295540
80,10,10,80,33723,48467,9430,3453,NaN,2022-02-14 16:30:54.671097
80,10,10,80,33724,48490,9431,3453,NaN,2022-02-15 07:56:49.215217
80,10,10,80,33727,48490,9431,3453,NaN,2022-02-15 09:23:56.243197
80,10,10,80,33727,48490,9432,3453,NaN,2022-02-15 09:59:59.599558
80,10,10,80,33815,48491,9432,3453,NaN,2022-02-15 11:09:50.737229
80,10,10,80,33819,48491,9432,3453,NaN,2022-02-15 14:05:57.801026
80,10,10,80,33819,48491,9432,3454,NaN,2022-02-15 14:41:39.636489
80,10,10,80,33819,48493,9432,3455,NaN,2022-02-15 15:16:37.156631
80,10,10,80,33820,48501,9432,3455,NaN,2022-02-15 15:51:39.789662
80,10,10,80,33821,48508,9432,3455,NaN,2022-02-15 16:26:23.591003
70,10,10,70,33965,48641,9450,3464,NaN,2022-02-21 09:28:32.198145
70,10,10,70,33965,48685,9450,3477,NaN,2022-02-21 10:03:01.841004
70,10,10,70,33969,48687,9450,3477,NaN,2022-02-21 10:37:26.875737
70,10,10,70,33985,48697,9451,3477,NaN,2022-02-21 11:11:59.952968
70,10,10,70,33985,48697,9452,3479,NaN,2022-02-21 14:06:23.890767
70,10,10,70,33986,48698,9452,3479,NaN,2022-02-21 14:42:50.025263
70,10,10,70,33986,48698,9453,3480,NaN,2022-02-21 16:27:20.955107
70,10,10,70,33986,48698,9453,3492,NaN,2022-02-22 08:29:17.290451
70,10,10,70,33986,48698,9454,3492,NaN,2022-02-22 09:39:35.402377
70,10,10,70,33987,48699,9458,3492,NaN,2022-02-22 10:14:49.018094
70,10,10,70,33987,48703,9458,3492,NaN,2022-02-22 11:59:00.414056
70,10,10,70,33987,48715,9458,3492,NaN,2022-02-22 13:08:12.777886
70,10,10,70,33989,48737,9458,3492,NaN,2022-02-22 13:42:52.816184
70,10,10,70,33989,48749,9458,3492,NaN,2022-02-22 14:17:27.099489
70,10,10,70,33992,48749,9458,3492,NaN,2022-02-22 14:52:04.425375
70,10,10,70,33993,48749,9458,3492,NaN,2022-02-22 15:26:45.734833
70,10,10,70,33994,48749,9458,3492,NaN,2022-02-22 16:01:26.217963
70,10,10,70,34002,48766,9460,3494,NaN,2022-02-23 16:09:41.344237
70,10,10,70,34002,48769,9460,3496,NaN,2022-02-24 09:18:51.121161
70,10,10,70,34004,48783,9460,3498,NaN,2022-02-24 09:53:33.457692
70,10,10,70,34004,48791,9460,3498,NaN,2022-02-24 11:37:09.339887
60,10,10,70,34005,48791,9460,3498,NaN,2022-02-24 12:12:52.751971
60,10,10,70,34012,48793,9460,3498,NaN,2022-02-24 12:47:50.919667
60,10,10,70,34015,48793,9460,3498,NaN,2022-02-24 14:32:07.001721
60,10,10,70,34015,48793,9460,3503,NaN,2022-02-24 15:06:47.273279
60,10,10,70,34015,48793,9470,3513,NaN,2022-02-24 16:16:02.734640
60,10,10,70,34015,48795,9472,3513,NaN,2022-02-25 10:17:39.099095
60,10,10,70,34015,48795,9474,3513,NaN,2022-02-25 10:52:19.797590
60,10,10,70,34015,48795,9477,3513,NaN,2022-02-25 12:01:33.506451
60,10,10,60,34022,48826,9477,3513,NaN,2022-02-25 14:21:24.053637
60,10,10,60,34022,48826,9478,3513,NaN,2022-02-25 14:56:04.643846
60,0,0,60,34056,48830,9487,3513,NaN,2022-02-28 13:49:48.424747
60,0,0,60,34056,48832,9487,3513,NaN,2022-02-28 14:24:21.856933
60,0,0,60,34056,48832,9489,3513,NaN,2022-02-28 16:07:32.797910
60,100,100,60,34190,48848,9492,3516,NaN,2022-03-02 09:21:36.394835
60,100,100,60,34200,48848,9492,3516,NaN,2022-03-02 09:56:17.463151
60,100,100,60,34200,48848,9492,3517,NaN,2022-03-02 15:24:29.205053
60,100,100,60,34200,48848,9494,3517,NaN,2022-03-02 16:34:10.526534
50,100,100,60,34219,48856,9495,3517,NaN,2022-03-03 09:57:22.777533
50,100,100,60,34219,48856,9495,3518,NaN,2022-03-03 11:09:53.590429
50,100,100,60,34223,48856,9495,3518,NaN,2022-03-03 11:15:27.871586
50,100,100,60,34225,48856,9495,3518,NaN,2022-03-03 14:30:02.991537
50,100,100,60,34239,48856,9495,3518,NaN,2022-03-03 14:34:46.792947
50,100,100,60,34249,48856,9495,3518,NaN,2022-03-03 16:27:17.249295
50,100,100,60,34249,48858,9496,3530,NaN,2022-03-04 10:08:36.699172
50,100,100,60,34251,48858,9497,3532,NaN,2022-03-04 10:44:27.066847
50,100,100,60,34251,48858,9498,3532,NaN,2022-03-04 11:01:58.534737
50,100,100,60,34263,48858,9498,3532,NaN,2022-03-04 11:07:30.461612
50,100,100,60,34273,48858,9498,3532,NaN,2022-03-04 11:48:53.654759
50,100,100,60,34274,48858,9498,3532,NaN,2022-03-04 12:09:32.312113
50,100,100,60,34275,48858,9498,3532,NaN,2022-03-04 12:14:10.608567
50,100,100,60,34299,48858,9498,3532,NaN,2022-03-04 12:23:26.279010
50,100,100,60,34299,48865,9498,3532,NaN,2022-03-04 13:16:24.417980
50,100,100,60,34299,48865,9499,3532,NaN,2022-03-04 13:30:13.352223
50,100,100,60,34300,48865,9499,3532,NaN,2022-03-04 14:45:10.189948
50,100,100,60,34300,48865,9500,3532,NaN,2022-03-07 07:42:22.754262
50,100,100,60,34300,48865,9501,3532,NaN,2022-03-07 07:47:12.148821
50,100,100,60,34300,48865,9502,3532,NaN,2022-03-07 07:52:19.826666
50,100,100,60,34338,48865,9502,3532,NaN,2022-03-07 07:57:10.797465
50,100,100,60,34344,48865,9502,3532,NaN,2022-03-07 08:40:05.729958
50,100,100,60,34344,48865,9504,3532,NaN,2022-03-07 08:44:43.208285
50,100,100,60,34344,48865,9506,3532,NaN,2022-03-07 08:49:14.581593
50,100,100,60,34344,48865,9507,3532,NaN,2022-03-07 09:16:50.418643
50,100,100,60,34346,48867,9507,3532,NaN,2022-03-07 09:26:02.534044
50,100,100,60,34348,48868,9507,3532,NaN,2022-03-07 09:39:55.286134
50,100,100,60,34348,48869,9507,3532,NaN,2022-03-07 11:06:44.926772
50,100,100,60,34370,48869,9507,3532,NaN,2022-03-07 11:20:22.143045
50,100,100,60,34370,48869,9510,3532,NaN,2022-03-07 11:25:05.723638
50,100,100,60,34370,48869,9513,3532,NaN,2022-03-07 11:57:20.803589
50,100,100,60,34370,48871,9513,3532,NaN,2022-03-07 12:29:34.115239
50,100,100,60,34370,48876,9513,3532,NaN,2022-03-07 13:46:53.134024
50,100,100,60,34372,48876,9513,3532,NaN,2022-03-07 14:05:49.532151
50,100,100,60,34373,48876,9513,3532,NaN,2022-03-07 16:14:05.501280
