TonerBK,TonerC,TonerM,TonerY,Printed_BW,Printed_BCYM,Copied_BW,Copied_BCYM,Status_Report,Time_Stamp
60,10,10,10,5875,9961,5805,1108,Trom. ersetz :BK,2021-12-30 15:48:41.641924
60,10,10,0,5875,9965,5805,1108,Trom. ersetz :BK,2022-01-03 08:29:31.080139
60,10,10,0,5875,9967,5805,1108,Trom. ersetz :BK,2022-01-03 10:30:22.818286
60,10,10,0,5875,9973,5805,1108,Trom. ersetz :BK,2022-01-03 13:25:10.169505
60,10,10,0,5880,9973,5805,1108,Trom. ersetz :BK,2022-01-03 13:55:10.973042
60,10,10,0,5882,9973,5805,1108,Trom. ersetz :BK,2022-01-03 16:34:04.527682
60,10,10,0,5886,9974,5805,1108,Trom. ersetz :BK,2022-01-04 09:06:28.955775
60,10,10,0,5886,9974,5805,1108,Trom. ersetz :BK,2022-01-04 09:49:30.895766
60,10,10,0,5886,9977,5805,1108,Trom. ersetz :BK,2022-01-04 10:22:15.921361
50,10,10,0,5971,9979,5805,1108,Trom. ersetz :BK,2022-01-05 12:42:50.142754
50,100,100,100,5971,9981,5806,1108,Trom. ersetz :BK,2022-01-06 12:29:57.330008
50,100,100,100,5989,9981,5806,1108,Trom. ersetz :BK,2022-01-06 13:01:51.834162
50,100,100,100,6036,9981,5806,1108,Trom. ersetz :BK,2022-01-06 16:05:31.521644
50,100,100,100,6036,9982,5806,1108,Trom. ersetz :BK,2022-01-07 13:29:52.949417
50,100,100,100,6039,9985,5806,1108,Trom. ersetz :BK,2022-01-07 13:40:31.886649
50,100,100,100,6057,9985,5806,1108,Trom. ersetz :BK,2022-01-07 14:55:24.647744
50,100,100,100,6057,9985,5806,1109,Trom. ersetz :BK,2022-01-12 11:21:42.014969
50,100,100,100,6061,9985,5806,1109,Trom. ersetz :BK,2022-01-12 16:18:45.325278
50,100,100,100,6065,9988,5806,1109,Trom. ersetz :BK,2022-01-13 09:54:46.750350
50,100,100,100,6065,9988,5806,1109,Trom. ersetz :BK,2022-01-14 09:12:44.819341
50,100,100,100,6067,9988,5806,1109,Trom. ersetz :BK,2022-01-21 10:20:28.409496
50,100,100,100,6067,9989,5806,1109,Trom. ersetz :BK,2022-01-27 16:24:55.745934
50,100,100,100,6070,9992,5806,1109,Trom. ersetz :BK,2022-01-28 12:45:59.889927
50,100,100,100,6070,9993,5806,1109,Trom. ersetz :BK,2022-01-28 13:20:38.969625
50,100,100,100,6070,9997,5806,1109,Trom. ersetz :BK,2022-02-02 14:46:51.760384
50,100,100,100,6071,10002,5806,1109,Trom. ersetz :BK,2022-02-02 15:25:01.124106
50,100,100,100,6071,10010,5806,1109,Trom. ersetz :BK,2022-02-02 16:05:43.868267
40,100,100,100,6076,10036,5806,1109,Trom. ersetz :BK,2022-02-09 09:22:23.120825
40,100,100,100,6076,10036,5807,1109,Trom. ersetz :BK,2022-02-11 13:21:35.979745
40,100,100,100,6076,10038,5807,1109,Trom. ersetz :BK,2022-02-15 16:25:56.707645
40,100,100,100,6076,10041,5809,1109,Trom. ersetz :BK,2022-02-22 08:28:50.872305
40,100,100,100,6076,10042,5811,1109,Trom. ersetz :BK,2022-02-22 09:39:05.937197
40,100,100,100,6077,10048,5811,1109,Trom. ersetz :BK,2022-02-24 12:12:20.342323
40,100,100,100,6077,10049,5811,1109,Trom. ersetz :BK,2022-02-28 16:07:06.191030
40,100,100,100,6077,10074,5811,1109,Trom. ersetz :BK,2022-03-07 07:36:49.632653
40,100,90,100,6077,10075,5811,1109,Trom. ersetz :BK,2022-03-07 08:48:47.577527
40,100,90,100,6078,10075,5811,1109,Trom. ersetz :BK,2022-03-07 16:22:41.146083
40,100,90,100,6078,10076,5811,1109,Trom. ersetz :BK,2022-03-08 16:33:03.043211
40,90,90,90,6128,10105,5811,1109,Trom. ersetz :BK,2022-03-10 16:24:23.363102
40,90,90,90,6128,10130,5811,1109,Trom. ersetz :BK,2022-03-23 11:17:14.296016
40,90,90,90,6129,10130,5811,1109,Trom. ersetz :BK,2022-04-07 16:18:50.309227
30,90,90,90,6149,10151,5811,1111,Trom. ersetz :BK,2022-04-21 10:45:35.758473
30,90,90,90,6159,10151,5811,1111,Trom. ersetz :BK,2022-04-27 16:32:43.107111
30,90,90,90,6159,10155,5811,1111,Trom. ersetz :BK,2022-05-10 16:33:10.315962
30,90,90,90,6159,10156,5811,1111,Trom. ersetz :BK,2022-05-19 11:57:22.404827
20,70,70,70,6191,10443,5811,1111,Trom. ersetz :BK,2022-05-25 11:14:54.216118
20,70,70,70,6191,10445,5811,1111,Trom. ersetz :BK,2022-05-25 11:24:57.270473
20,70,70,70,6191,10447,5811,1111,Trom. ersetz :BK,2022-06-02 16:34:39.784694
20,70,70,70,6191,10448,5811,1111,Trom. ersetz :BK,2022-06-09 16:40:29.529583
20,70,70,70,6236,10448,5811,1111,Trom. ersetz :BK,2022-07-07 16:26:12.367285
10,70,70,70,6236,10473,5811,1111,Trom. ersetz :BK,2022-07-08 13:41:01.796442
10,70,70,70,6236,10474,5811,1111,Trom. ersetz :BK,2022-07-08 13:56:20.040830
10,70,70,70,6236,10474,5812,1111,Trom. ersetz :BK,2022-07-13 08:42:39.975238
