TonerBK,TonerC,TonerM,TonerY,Printed_BW,Printed_BCYM,Copied_BW,Copied_BCYM,Status_Report,Time_Stamp
40,30,30,50,11817,26457,10013,5707,Energiesparen ,2021-12-30 13:42:15.780417
40,30,30,50,11819,26458,10013,5707,Energiesparen ,2021-12-30 15:18:54.239885
40,30,30,50,11819,26460,10013,5707,Energiesparen ,2021-12-30 15:48:54.305871
40,30,30,50,11819,26472,10013,5707,Energiesparen ,2022-01-03 08:29:44.093898
40,30,30,50,11819,26475,10013,5707,Energiesparen ,2022-01-04 10:19:10.711446
40,30,30,50,11820,26501,10013,5757,Energiesparen ,2022-01-06 12:27:04.742467
40,30,30,50,11820,26501,10013,5757,Energiesparen ,2022-01-06 13:27:24.578093
40,30,30,50,11820,26506,10013,5757,Energiesparen ,2022-01-06 14:27:34.383306
40,30,30,50,11820,26512,10013,5757,Energiesparen ,2022-01-06 15:29:23.175115
40,30,30,50,11820,26513,10013,5757,Energiesparen ,2022-01-06 15:59:23.703470
30,20,20,30,11820,26519,10034,6159,Energiesparen ,2022-01-17 15:48:00.559045
30,20,20,30,11820,26519,10034,6159,Energiesparen ,2022-01-17 16:22:59.763466
30,20,20,30,11820,26522,10034,6159,Energiesparen ,2022-01-18 08:37:52.061950
30,20,20,30,11820,26522,10034,6161,Energiesparen ,2022-01-18 16:20:02.536295
30,20,20,30,11820,26524,10034,6161,Energiesparen ,2022-01-21 08:36:20.717279
30,20,20,30,11820,26531,10034,6161,Energiesparen ,2022-01-25 09:21:23.895598
20,20,20,30,11825,26535,10034,6161,Bereit,2022-01-25 09:43:14.879891
20,20,20,30,11826,26536,10034,6161,Energiesparen ,2022-01-26 10:34:24.883659
20,10,20,30,11826,26540,10034,6161,Energiesparen ,2022-01-26 11:48:50.876066
20,10,20,30,11826,26544,10034,6161,Energiesparen ,2022-01-26 13:00:01.997607
20,10,20,30,11826,26548,10034,6161,Energiesparen ,2022-01-28 13:55:38.094892
20,10,20,30,11826,26550,10034,6161,Energiesparen ,2022-01-31 08:50:19.125133
20,10,20,30,11827,26553,10034,6161,Energiesparen ,2022-01-31 14:07:38.589258
20,10,20,30,11827,26554,10034,6161,Energiesparen ,2022-01-31 16:07:30.901607
20,10,20,30,11827,26556,10034,6161,Wenig Toner :C,2022-02-01 10:07:15.992003
20,10,10,30,11829,26576,10035,6170,Wenig Toner :C,2022-02-11 14:32:14.623900
20,10,10,30,11831,26576,10035,6170,Wenig Toner :C,2022-02-14 12:58:14.370334
20,10,10,30,11833,26576,10035,6170,Wenig Toner :C,2022-02-14 14:08:25.216798
20,10,10,30,11834,26576,10035,6173,Wenig Toner :C,2022-02-14 15:54:47.699540
20,10,10,30,11834,26579,10035,6173,Wenig Toner :C,2022-02-15 15:16:13.550632
20,10,10,30,11834,26581,10035,6173,Wenig Toner :C,2022-02-15 15:51:16.019931
20,10,10,30,11834,26583,10035,6173,Wenig Toner :C,2022-02-15 16:26:01.475331
20,10,10,30,11834,26616,10035,6326,Wenig Toner :C,2022-02-21 10:02:38.722050
20,10,10,30,11834,26616,10037,6326,Wenig Toner :C,2022-02-22 09:39:11.487554
20,10,10,30,11835,26616,10037,6326,Wenig Toner :C,2022-02-22 11:24:04.787696
20,0,10,30,11836,26616,10037,6326,Wenig Toner :C,2022-02-28 14:23:59.250934
20,0,10,30,11836,26624,10037,6326,Wenig Toner :C,2022-03-08 11:31:20.733482
20,0,10,30,11836,26626,10037,6326,Wenig Toner :C,2022-03-08 12:20:58.270601
20,0,10,30,11836,26628,10037,6326,Wenig Toner :C,2022-03-08 13:39:28.172068
20,0,10,30,11836,26630,10037,6326,Wenig Toner :C,2022-03-08 16:33:07.672394
20,0,10,30,11836,26631,10037,6326,Wenig Toner :C,2022-03-14 14:54:20.526955
20,0,10,30,11836,26631,10037,6326,Energiesparen ,2022-03-14 15:07:37.790994
20,0,10,30,11836,26633,10037,6326,Wenig Toner :C,2022-03-16 09:48:26.444407
20,0,10,30,11836,26635,10037,6326,Wenig Toner :C,2022-03-16 13:08:11.232782
20,0,10,30,11836,26637,10037,6326,Wenig Toner :C,2022-03-17 09:40:34.420895
20,0,10,30,11836,26637,10037,6326,Bitte warten,2022-03-17 09:45:36.597872
20,0,10,30,11838,26637,10037,6326,Wenig Toner :C,2022-03-17 10:15:35.357006
20,0,10,30,11839,26637,10037,6326,Wenig Toner :C,2022-03-17 16:35:51.333219
20,0,10,30,11839,26637,10037,6326,Energiesparen ,2022-03-18 15:17:10.904695
20,0,10,30,11839,26637,10037,6326,Wenig Toner :C,2022-03-22 10:20:23.691798
20,0,10,30,11839,26639,10037,6326,Wenig Toner :C,2022-03-22 12:00:27.693002
20,0,10,30,11839,26641,10037,6326,Wenig Toner :C,2022-03-22 12:05:31.253708
20,0,10,30,11839,26642,10037,6326,Wenig Toner :C,2022-03-22 16:21:28.017081
20,0,10,30,11839,26642,10037,6326,Abdeckung offen ,2022-03-22 16:26:27.074361
20,0,10,30,11839,26642,10037,6326,Toner ersetzen (C),2022-03-23 09:47:20.082480
20,100,100,20,11839,26642,10037,6326,Bereit,2022-03-23 09:57:16.060744
20,100,100,20,11839,26642,10037,6326,Energiesparen ,2022-03-23 10:02:15.844960
20,100,100,20,11840,26647,10037,6326,Energiesparen ,2022-03-23 10:22:15.261046
