TonerBK,TonerC,TonerM,TonerY,Printed_BW,Printed_BCYM,Copied_BW,Copied_BCYM,Status_Report,Time_Stamp
30,70,60,100,17893,7793,19320,1195,Energiesparen ,2022-01-04 09:03:30.099094
30,70,60,100,17896,7802,19320,1195,Energiesparen ,2022-01-04 09:46:39.474892
30,70,60,100,17896,7802,19320,1195,Energiesparen ,2022-01-04 10:16:44.381635
20,60,60,100,17994,7884,19339,1225,Bereit,2022-01-06 12:26:13.845201
20,60,60,100,17997,7887,19346,1225,Energiesparen ,2022-01-06 12:56:34.462387
20,60,60,100,17999,7887,19367,1225,Energiesparen ,2022-01-06 13:26:34.513849
20,60,60,100,18000,7887,19367,1225,Energiesparen ,2022-01-06 15:28:32.117709
100,60,50,90,18094,8018,19430,1232,Energiesparen ,2022-01-12 08:23:37.878764
100,60,50,90,18094,8018,19430,1232,Energiesparen ,2022-01-12 09:01:26.380341
100,60,50,90,18107,8026,19430,1232,Kein Papier ,2022-01-12 09:36:43.546489
100,60,50,90,18108,8027,19430,1232,Energiesparen ,2022-01-12 10:12:15.747069
100,60,50,90,18109,8027,19456,1232,Energiesparen ,2022-01-12 10:47:55.763571
100,60,50,90,18120,8029,19459,1232,Energiesparen ,2022-01-12 11:23:36.400168
100,60,50,90,18120,8029,19459,1232,Energiesparen ,2022-01-12 12:02:53.673777
100,60,50,90,18122,8040,19459,1232,Energiesparen ,2022-01-12 12:38:43.273331
100,50,50,90,18129,8058,19489,1233,Energiesparen ,2022-01-13 14:19:05.585870
100,50,50,90,18133,8062,19489,1233,Energiesparen ,2022-01-13 14:54:52.894384
100,50,50,90,18133,8062,19489,1233,Energiesparen ,2022-01-13 15:30:50.275071
90,50,50,90,18147,8084,19499,1233,Energiesparen ,2022-01-14 09:14:39.789015
90,50,50,90,18147,8086,19499,1233,Energiesparen ,2022-01-14 09:51:28.844147
90,50,50,90,18169,8086,19500,1233,Energiesparen ,2022-01-14 12:51:07.634038
90,50,50,90,18173,8091,19500,1233,Energiesparen ,2022-01-14 13:26:57.186217
90,50,50,90,18173,8091,19500,1233,Bereit,2022-01-14 14:03:52.734527
90,50,50,80,18174,8093,19500,1233,Energiesparen ,2022-01-14 14:39:11.495177
90,50,40,80,18184,8125,19542,1233,Energiesparen ,2022-01-18 08:39:36.630411
90,50,40,80,18184,8133,19542,1233,Bereit,2022-01-18 09:48:42.504244
80,50,40,80,18189,8140,19569,1248,Bereit,2022-01-18 11:39:21.715036
80,50,40,80,18195,8148,19571,1248,Bitte warten,2022-01-18 12:15:04.095182
80,50,40,80,18201,8155,19576,1248,Bereit,2022-01-18 12:57:43.825387
80,50,40,80,18201,8155,19577,1248,Energiesparen ,2022-01-18 13:20:39.855713
80,50,40,80,18202,8155,19577,1248,Energiesparen ,2022-01-18 13:56:31.294792
80,50,40,80,18212,8169,19638,1251,Energiesparen ,2022-01-19 09:00:39.219818
70,50,40,80,18243,8232,19663,1261,Energiesparen ,2022-01-20 10:38:16.217724
70,50,40,80,18243,8234,19663,1261,Energiesparen ,2022-01-20 11:14:00.320256
70,50,40,80,18253,8237,19674,1261,Bereit,2022-01-20 11:49:38.738337
70,50,40,80,18254,8237,19677,1261,Energiesparen ,2022-01-20 12:24:49.721159
70,50,40,80,18256,8237,19677,1261,Energiesparen ,2022-01-20 13:00:19.081966
70,50,40,80,18259,8246,19677,1264,Energiesparen ,2022-01-20 13:35:52.876590
70,50,40,80,18264,8246,19687,1264,Energiesparen ,2022-01-20 14:11:01.556977
70,50,40,80,18273,8246,19687,1264,Kein Papier ,2022-01-20 14:46:08.658972
70,50,40,80,18274,8247,19687,1264,Energiesparen ,2022-01-20 15:21:23.568625
60,40,30,70,18336,8300,19786,1267,Energiesparen ,2022-01-25 08:47:42.691219
60,40,30,70,18344,8300,19786,1267,Energiesparen ,2022-01-25 09:23:02.458183
50,40,30,70,18344,8308,19786,1267,Energiesparen ,2022-01-25 10:34:07.179824
50,40,30,70,18344,8308,19787,1267,Bereit,2022-01-25 10:54:54.534008
50,40,30,70,18344,8310,19787,1267,Bereit,2022-01-25 11:09:18.833751
50,40,30,70,18345,8312,19787,1267,Energiesparen ,2022-01-25 11:30:07.302401
50,40,30,70,18353,8319,19792,1267,Bereit,2022-01-25 11:44:10.141656
50,40,30,70,18353,8321,19796,1267,Bereit,2022-01-25 12:07:38.033716
50,40,30,70,18353,8325,19796,1267,Energiesparen ,2022-01-25 12:33:05.202215
50,40,30,70,18354,8327,19800,1267,Bereit,2022-01-25 13:08:20.683848
50,40,30,70,18354,8331,19800,1267,Energiesparen ,2022-01-25 13:44:17.338648
50,40,30,70,18365,8356,19851,1267,Energiesparen ,2022-01-26 11:50:27.558242
50,40,30,70,18365,8360,19872,1267,Bereit,2022-01-26 12:25:44.864064
50,40,30,70,18365,8360,19872,1267,Energiesparen ,2022-01-26 13:01:37.259587
50,40,30,70,18365,8360,19872,1270,Energiesparen ,2022-01-26 14:12:31.772875
50,40,30,70,18366,8362,19872,1270,Bereit,2022-01-26 14:47:54.164060
50,40,30,70,18368,8364,19872,1270,Energiesparen ,2022-01-26 15:23:30.377514
40,40,30,70,18368,8364,19892,1270,Energiesparen ,2022-01-26 15:59:15.280345
30,40,30,70,18417,8455,19988,1281,Trom. bestel :BK,2022-01-31 08:16:28.314100
30,40,30,70,18435,8455,19988,1281,Trom. bestel :BK,2022-01-31 08:51:59.412898
30,40,30,70,18444,8460,19988,1281,Trom. bestel :BK,2022-01-31 13:58:59.837699
10,30,20,60,18608,8558,20195,1285,Trom. bestel :BK,2022-02-07 09:32:12.024954
10,30,20,60,18609,8558,20195,1285,Trom. bestel :BK,2022-02-07 11:21:50.235086
10,30,20,60,18611,8558,20195,1285,Trom. bestel :BK,2022-02-07 14:59:54.659153
80,20,10,50,18722,8689,20417,1286,Trom. bestel :BK,2022-02-15 07:58:26.203300
80,20,10,50,18723,8689,20418,1286,Trom. bestel :BK,2022-02-15 08:35:05.451115
80,20,10,50,18723,8697,20418,1286,Trom. bestel :BK,2022-02-15 08:53:17.721282
80,20,10,50,18731,8698,20418,1286,Trom. bestel :BK,2022-02-15 09:20:31.456387
80,20,10,50,18731,8702,20418,1286,Trom. bestel :BK,2022-02-15 09:25:17.220532
50,10,100,40,18890,8967,20580,1294,Trom. ersetz :BK,2022-02-22 09:05:38.679694
50,10,100,40,18890,8968,20580,1302,Trom. ersetz :BK,2022-02-22 09:40:50.436035
50,10,100,40,18898,8977,20580,1302,Trom. ersetz :BK,2022-02-22 10:16:07.886071
40,100,100,40,18920,9038,20610,1302,Trom. ersetz :BK,2022-02-23 15:10:31.319113
40,100,100,40,18920,9038,20611,1302,Trom. ersetz :BK,2022-02-23 15:35:54.216222
10,90,80,20,19146,9319,20751,1326,Trom. ersetz :BK,2022-03-03 10:43:15.879590
10,90,80,20,19146,9320,20751,1326,Trom. ersetz :BK,2022-03-03 11:11:09.203266
10,90,80,20,19149,9320,20751,1326,Trom. ersetz :BK,2022-03-03 11:27:43.125288
0,90,80,20,19149,9328,20761,1326,Trom. ersetz :BK,2022-03-03 11:54:22.337346
100,90,80,20,19156,9352,20763,1326,Trom. ersetz :BK,2022-03-04 10:00:04.619046
100,90,80,20,19156,9352,20783,1326,Trom. ersetz :BK,2022-03-04 10:10:39.347760
100,90,80,20,19159,9360,20783,1326,Trom. ersetz :BK,2022-03-04 10:57:37.885663
