TonerBK,TonerC,TonerM,TonerY,Printed_BW,Printed_BCYM,Copied_BW,Copied_BCYM,Status_Report,Time_Stamp
80,90,90,90,210,1653,0,8,Energiesparen,2022-01-04 10:13:52.379870
80,90,90,90,256,1654,0,8,Energiesparen,2022-01-06 12:25:39.168042
80,90,90,90,256,1654,0,8,Energiesparen,2022-01-14 14:40:47.679606
80,90,90,90,258,1655,0,8,Energiesparen,2022-01-18 08:41:22.961213
80,90,90,90,258,1655,0,8,Energiesparen,2022-01-18 13:22:13.607233
80,90,90,90,258,1655,0,8,Ausdruck,2022-01-18 13:58:04.742792
80,90,90,90,258,1659,0,8,Energiesparen,2022-01-19 09:02:20.121457
80,90,90,90,259,1666,0,8,Energiesparen,2022-01-20 11:51:08.880319
80,90,90,90,259,1667,0,8,Energiesparen,2022-01-20 12:26:22.754255
80,90,90,90,259,1668,0,8,Energiesparen,2022-01-20 13:37:16.038245
80,90,90,90,259,1670,0,8,Energiesparen,2022-01-20 15:23:02.737530
80,90,90,90,265,1704,0,8,Energiesparen,2022-01-25 10:00:39.230399
80,90,90,90,265,1706,0,8,Energiesparen,2022-01-25 10:21:21.316419
80,90,90,90,265,1707,0,8,Energiesparen,2022-01-25 10:35:31.549640
80,90,90,90,266,1708,0,8,Energiesparen,2022-01-25 13:45:50.488361
80,90,90,90,268,1715,0,8,Energiesparen,2022-01-26 14:14:05.907769
80,90,90,90,269,1715,0,8,Energiesparen,2022-01-26 16:01:04.240454
70,90,90,90,288,1732,0,8,Energiesparen,2022-01-31 08:53:29.673330
70,90,90,90,296,1776,0,8,Energiesparen,2022-02-07 15:01:41.599510
70,90,80,80,310,1801,0,8,Energiesparen,2022-02-15 08:37:11.010155
70,90,80,80,311,1801,0,8,Energiesparen,2022-02-15 09:27:06.699793
70,80,80,80,322,1839,0,8,Energiesparen,2022-02-22 08:31:52.832226
70,80,80,80,322,1840,0,8,Energiesparen,2022-02-22 10:17:44.973218
70,80,80,80,328,1857,0,8,Energiesparen,2022-02-23 15:37:36.783649
70,80,80,80,337,1873,0,8,Energiesparen,2022-03-03 11:34:22.513149
70,80,80,80,337,1874,0,8,Energiesparen,2022-03-03 11:55:57.688261
70,80,80,80,338,1879,0,8,Energiesparen,2022-03-04 11:51:56.841908
70,80,80,80,340,1902,0,8,Energiesparen,2022-03-10 13:07:52.072915
70,80,80,80,340,1904,0,8,Energiesparen,2022-03-10 14:17:15.729048
70,80,80,80,340,1907,0,8,Energiesparen,2022-03-10 15:39:46.352029
70,80,80,80,340,1907,0,8,Kein Papier Z1,2022-03-10 16:22:05.091414
70,80,80,80,342,1915,0,8,Energiesparen,2022-03-15 16:23:55.604366
70,80,80,80,344,1924,0,8,Energiesparen,2022-03-16 16:29:36.566800
60,80,80,80,347,1998,0,8,Energiesparen,2022-03-23 09:18:49.031765
60,80,80,80,347,1999,0,8,Ausdruck,2022-03-23 09:23:36.736229
60,80,80,80,347,2001,0,8,Energiesparen,2022-03-23 11:18:43.209509
60,80,80,80,348,2005,0,8,Energiesparen,2022-03-24 14:21:57.471427
60,80,80,80,348,2007,0,8,Energiesparen,2022-03-29 12:15:22.385299
60,80,80,80,351,2010,0,8,Energiesparen,2022-03-30 09:16:33.047094
60,80,80,80,352,2010,0,8,Bereit,2022-03-30 09:21:26.484270
60,80,80,80,352,2010,0,8,Energiesparen,2022-03-30 10:15:02.886700
60,80,80,80,353,2011,0,8,Energiesparen,2022-03-30 10:19:56.423316
60,80,80,80,353,2012,0,8,Energiesparen,2022-03-30 13:05:02.780073
60,80,80,80,353,2016,0,8,Energiesparen,2022-03-31 13:25:51.239988
60,80,80,80,353,2018,0,8,Energiesparen,2022-04-01 09:51:40.280860
60,80,80,80,353,2019,0,8,Energiesparen,2022-04-04 16:32:41.535776
60,80,80,80,353,2021,0,8,Energiesparen,2022-04-05 16:19:27.858441
60,80,80,80,353,2022,0,8,Energiesparen,2022-04-05 16:39:49.739376
60,80,80,80,353,2032,0,8,Energiesparen,2022-04-06 16:38:43.022858
60,80,80,80,353,2040,0,8,Energiesparen,2022-04-07 08:59:33.411585
60,80,80,70,354,2042,0,8,Energiesparen,2022-04-07 16:20:19.071714
60,70,70,70,363,2130,0,8,Energiesparen,2022-04-21 13:02:56.039944
60,70,70,70,363,2132,0,8,Energiesparen,2022-04-22 14:47:10.396363
60,70,70,70,363,2132,0,8,Ausdruck,2022-04-22 14:52:11.065672
60,70,70,70,363,2133,0,8,Energiesparen,2022-04-22 15:32:31.774842
60,70,70,70,363,2135,0,8,Energiesparen,2022-04-25 14:18:23.718126
60,70,70,70,366,2150,0,8,Energiesparen,2022-04-27 10:00:47.994628
60,70,70,70,366,2151,0,8,Energiesparen,2022-04-27 16:29:19.017187
60,70,70,70,366,2154,0,8,Energiesparen,2022-04-28 14:05:25.097537
60,70,70,70,366,2155,0,8,Ausdruck,2022-04-28 14:10:25.800944
60,70,70,70,366,2160,0,8,Energiesparen,2022-04-28 16:31:26.924395
60,70,70,70,366,2161,0,8,Energiesparen,2022-04-29 11:06:11.084987
60,70,70,70,366,2163,0,8,Energiesparen,2022-04-29 11:16:18.459437
60,70,70,70,366,2165,0,8,Energiesparen,2022-05-03 10:56:32.261679
60,70,70,70,366,2166,0,8,Energiesparen,2022-05-03 14:43:01.026577
60,70,70,70,366,2168,0,8,Energiesparen,2022-05-03 16:48:54.086181
60,70,70,70,367,2172,0,8,Energiesparen,2022-05-04 09:20:51.244162
60,70,70,70,368,2172,0,8,Energiesparen,2022-05-04 09:45:50.402445
60,70,70,70,368,2172,0,8,Ausdruck,2022-05-04 09:50:53.917220
60,70,70,70,377,2172,0,8,Energiesparen,2022-05-04 16:33:14.673533
60,70,70,70,377,2174,0,8,Energiesparen,2022-05-05 13:44:57.435674
60,70,70,70,378,2175,0,8,Energiesparen,2022-05-05 13:59:56.368046
60,70,70,70,378,2176,0,8,Energiesparen,2022-05-06 13:18:32.247734
60,70,70,70,378,2179,0,8,Energiesparen,2022-05-06 14:13:56.776001
60,70,70,70,378,2182,0,8,Ausdruck,2022-05-06 14:19:00.719416
60,70,70,70,378,2199,0,8,Ausdruck,2022-05-06 14:24:02.415151
60,70,70,70,378,2219,0,8,Ausdruck,2022-05-06 14:29:04.189803
60,70,70,70,378,2244,0,8,Ausdruck,2022-05-06 14:34:08.992677
60,70,70,70,378,2269,0,8,Ausdruck,2022-05-06 14:39:11.987293
60,70,70,70,378,2278,0,8,Energiesparen,2022-05-06 14:59:25.074921
