TonerBK,TonerC,TonerM,TonerY,Printed_BW,Printed_BCYM,Copied_BW,Copied_BCYM,Status_Report,Time_Stamp
10,40,40,30,137,679,0,1,Toner bestellen ,2021-12-30 15:18:55.950418
10,40,40,30,137,680,0,1,Toner bestellen ,2022-01-03 10:00:38.258292
10,40,40,30,137,684,0,1,Toner bestellen ,2022-01-03 11:00:41.477690
10,40,40,30,137,689,0,1,Toner bestellen ,2022-01-03 15:25:28.715717
10,40,30,30,141,693,0,1,Toner bestellen ,2022-01-03 16:04:48.822074
10,40,30,30,141,695,0,1,Toner bestellen ,2022-01-03 16:34:49.131189
10,40,30,30,143,696,0,1,Toner bestellen ,2022-01-04 09:04:59.925338
10,40,30,30,143,696,0,1,Toner bestellen ,2022-01-04 10:19:08.245800
10,40,30,30,148,701,0,1,Toner bestellen ,2022-01-05 12:41:59.803408
10,30,30,30,155,717,0,1,Toner bestellen ,2022-01-06 12:29:37.315557
10,30,30,30,155,717,0,1,Toner bestellen ,2022-01-06 15:34:51.653192
10,30,30,30,164,718,0,1,Ausdruck,2022-01-06 16:04:56.691265
100,30,30,30,169,737,0,1,Energiesparen,2022-01-07 11:33:36.712937
100,30,30,30,170,741,0,1,Energiesparen,2022-01-07 12:20:45.820740
100,30,30,30,171,745,0,1,Energiesparen,2022-01-07 12:50:51.291589
100,30,30,30,171,745,0,1,Energiesparen,2022-01-07 14:00:25.232302
100,30,30,30,173,745,0,1,Energiesparen,2022-01-07 14:35:03.242439
100,30,30,30,173,746,0,1,Energiesparen,2022-01-07 14:45:35.285748
100,30,30,30,174,751,0,1,Energiesparen,2022-01-07 14:55:36.059745
100,30,20,20,177,778,0,1,Energiesparen,2022-01-11 09:51:53.890835
100,30,20,20,177,778,0,1,Energiesparen,2022-01-11 10:14:48.330945
100,20,20,20,184,830,0,1,Energiesparen,2022-01-11 12:05:37.906009
100,20,20,20,184,830,0,1,Energiesparen,2022-01-11 15:15:40.279344
100,20,20,20,184,832,0,1,Bereit,2022-01-11 15:20:41.163625
100,20,20,20,184,833,0,1,Energiesparen,2022-01-11 15:25:28.858024
100,20,20,20,184,833,0,1,Energiesparen,2022-01-11 15:34:15.674474
100,20,20,20,186,833,0,1,Energiesparen,2022-01-12 08:21:57.277308
100,20,20,10,186,863,0,1,Energiesparen,2022-01-12 08:58:49.014539
100,20,20,10,186,863,0,1,Energiesparen,2022-01-12 09:35:08.063739
100,20,20,10,186,870,0,1,Toner bestellen ,2022-01-12 10:10:36.828467
100,20,20,10,186,870,0,1,Toner bestellen ,2022-01-12 16:19:34.975011
100,20,10,10,189,877,0,1,Toner bestellen ,2022-01-13 09:54:58.389908
100,20,10,10,189,878,0,1,Toner bestellen ,2022-01-13 11:57:34.702072
100,20,10,10,189,882,0,1,Toner bestellen ,2022-01-13 16:05:17.703209
100,20,10,10,195,897,0,1,Toner bestellen ,2022-01-14 09:12:56.190513
100,20,10,10,195,897,0,1,Toner bestellen ,2022-01-14 10:25:20.599146
100,10,10,10,195,899,0,1,Toner bestellen ,2022-01-14 11:00:49.556844
100,10,10,10,195,899,0,1,Toner bestellen ,2022-01-14 12:13:09.822634
100,10,10,10,195,900,0,1,Toner bestellen ,2022-01-18 09:56:26.606406
100,10,10,10,195,902,0,1,Toner bestellen ,2022-01-24 08:29:53.418165
100,10,10,10,197,919,0,1,Toner bestellen ,2022-01-24 11:40:14.275324
100,10,10,10,197,920,0,1,Toner bestellen ,2022-01-24 12:15:01.889746
100,10,10,10,199,932,0,1,Toner bestellen ,2022-01-24 13:24:27.803092
100,10,10,10,200,946,0,1,Toner bestellen ,2022-01-25 08:46:06.840409
100,10,10,10,203,947,0,1,Toner bestellen ,2022-01-25 10:18:26.831220
90,0,10,0,205,962,0,1,Toner bestellen ,2022-01-25 10:32:32.422055
90,0,10,0,205,965,0,1,Toner bestellen ,2022-01-25 13:06:44.435734
90,0,10,0,205,966,0,1,Toner bestellen ,2022-01-25 13:42:34.124629
90,100,100,100,205,970,0,1,Energiesparen,2022-01-25 14:17:43.284023
90,100,100,100,205,972,0,1,Energiesparen,2022-01-25 16:01:57.580692
90,100,100,100,205,976,0,1,Energiesparen,2022-01-31 14:21:22.438879
90,100,100,100,206,977,0,1,Energiesparen,2022-01-31 16:07:32.137075
90,100,100,100,206,978,0,1,Energiesparen,2022-02-01 11:54:58.896406
90,100,100,100,206,979,0,1,Energiesparen,2022-02-02 09:33:32.737361
90,100,100,100,206,988,0,1,Energiesparen,2022-02-02 11:07:51.803176
90,100,100,100,207,988,0,1,Energiesparen,2022-02-02 14:10:41.921043
90,100,100,100,207,989,0,1,Energiesparen,2022-02-02 16:06:14.333818
90,100,100,100,209,993,0,1,Energiesparen,2022-02-07 09:30:26.641675
90,100,100,100,209,994,0,1,Energiesparen,2022-02-07 16:08:25.066754
90,100,100,100,210,998,0,1,Energiesparen,2022-02-08 09:24:12.926207
90,100,100,100,211,1002,0,1,Energiesparen,2022-02-08 12:18:54.302966
90,100,100,100,211,1003,0,1,Energiesparen,2022-02-09 09:58:17.352886
90,100,100,100,211,1004,0,1,Energiesparen,2022-02-09 14:39:03.540761
90,100,100,100,211,1005,0,1,Energiesparen,2022-02-09 16:23:29.298661
90,100,100,100,214,1005,0,1,Energiesparen,2022-02-11 14:32:16.425889
90,100,100,100,215,1005,0,1,Energiesparen,2022-02-14 09:28:43.133937
90,100,100,100,215,1007,0,1,Energiesparen,2022-02-14 10:03:37.230833
90,100,100,100,225,1034,0,1,Energiesparen,2022-02-14 10:38:32.429518
90,100,100,100,225,1035,0,1,Energiesparen,2022-02-14 11:48:17.724932
90,100,100,100,226,1040,0,1,Energiesparen,2022-02-14 13:33:17.241151
90,100,100,100,227,1040,0,1,Energiesparen,2022-02-14 15:19:00.469305
90,100,100,100,227,1043,0,1,Energiesparen,2022-02-14 16:30:32.980099
90,100,100,100,227,1044,0,1,Energiesparen,2022-02-15 08:51:25.041771
90,100,100,100,227,1050,0,1,Energiesparen,2022-02-15 11:09:28.745230
90,100,100,100,227,1052,0,1,Energiesparen,2022-02-15 15:16:15.992632
90,100,100,100,239,1101,0,1,Energiesparen,2022-02-15 15:51:18.572029
90,100,100,100,239,1104,0,1,Energiesparen,2022-02-15 16:26:02.864580
90,100,100,100,241,1111,0,1,Energiesparen,2022-02-21 08:53:31.571296
90,100,100,100,255,1112,0,1,Energiesparen,2022-02-21 10:02:39.980053
90,100,100,100,255,1113,0,1,Energiesparen,2022-02-21 10:37:05.457739
90,100,100,100,259,1116,0,1,Energiesparen,2022-02-21 11:11:38.806968
90,100,100,100,260,1117,0,1,Energiesparen,2022-02-21 12:20:40.594646
90,100,100,100,260,1119,0,1,Energiesparen,2022-02-21 13:31:06.602009
90,100,100,100,261,1120,0,1,Energiesparen,2022-02-21 14:42:28.913265
90,100,100,100,261,1121,0,1,Energiesparen,2022-02-22 09:04:02.695719
90,100,100,100,261,1123,0,1,Energiesparen,2022-02-22 09:39:12.810163
90,100,100,100,261,1126,0,1,Energiesparen,2022-02-22 10:49:27.909359
90,100,100,100,261,1130,0,1,Energiesparen,2022-02-22 16:01:05.752706
90,100,100,100,267,1132,0,1,Energiesparen,2022-02-23 15:08:40.452499
90,100,100,100,267,1134,0,1,Energiesparen,2022-02-24 09:53:11.383600
90,100,100,100,267,1136,0,1,Energiesparen,2022-02-24 10:27:39.210767
90,100,100,100,269,1141,0,1,Energiesparen,2022-02-24 13:56:56.986053
90,100,100,90,269,1149,0,1,Energiesparen,2022-02-24 16:15:42.255991
80,90,90,90,272,1173,0,1,Energiesparen,2022-02-25 11:26:32.182256
80,90,90,90,272,1173,0,1,Bitte warten,2022-02-25 12:01:12.845252
80,90,90,90,272,1177,0,1,Energiesparen,2022-02-25 14:55:43.159852
80,90,90,90,277,1193,0,1,Energiesparen,2022-02-28 14:24:00.560931
80,90,90,90,277,1196,0,1,Energiesparen,2022-02-28 14:58:22.865557
80,90,90,90,277,1223,0,1,Energiesparen,2022-02-28 16:07:11.821150
80,90,90,90,290,1325,0,1,Energiesparen,2022-03-02 10:30:40.633836
80,90,90,90,291,1326,0,1,Energiesparen,2022-03-02 15:24:06.721051
80,90,90,90,291,1327,0,1,Energiesparen,2022-03-02 16:33:49.205522
80,90,90,90,291,1328,0,1,Energiesparen,2022-03-03 08:18:21.074507
80,90,90,90,291,1330,0,1,Energiesparen,2022-03-03 12:09:46.497802
80,90,90,90,291,1359,0,1,Ausdruck,2022-03-03 12:14:15.744762
80,90,90,90,291,1402,0,1,Energiesparen,2022-03-03 16:26:56.274317
80,90,90,80,294,1410,0,1,Energiesparen,2022-03-04 11:25:18.815257
80,90,90,80,295,1414,0,1,Energiesparen,2022-03-04 11:30:46.442006
80,90,90,80,295,1416,0,1,Bereit,2022-03-04 11:36:11.645619
80,90,90,80,295,1416,0,1,Ausdruck,2022-03-04 11:42:12.396982
80,90,90,80,295,1418,0,1,Energiesparen,2022-03-04 12:23:04.074309
80,80,90,80,296,1419,0,1,Energiesparen,2022-03-04 12:37:03.491819
80,80,80,80,297,1420,0,1,Energiesparen,2022-03-04 12:55:32.537303
80,80,80,80,299,1422,0,1,Energiesparen,2022-03-07 08:44:22.577033
80,80,80,80,299,1426,0,1,Energiesparen,2022-03-07 08:53:32.855796
80,80,80,80,299,1427,0,1,Energiesparen,2022-03-07 09:07:22.953743
80,80,80,80,299,1429,0,1,Energiesparen,2022-03-07 09:11:51.624257
80,80,80,80,301,1429,0,1,Energiesparen,2022-03-07 09:44:20.580865
80,80,80,80,302,1430,0,1,Energiesparen,2022-03-07 10:25:49.186727
80,80,80,80,302,1440,0,1,Ausdruck,2022-03-07 10:30:17.720915
70,80,80,80,302,1454,0,1,Energiesparen,2022-03-07 13:36:56.116588
70,80,80,80,302,1456,0,1,Energiesparen,2022-03-07 14:52:04.362327
70,80,80,80,302,1458,0,1,Energiesparen,2022-03-08 13:39:29.591968
70,80,80,80,302,1461,0,1,Energiesparen,2022-03-08 16:33:08.969649
70,80,80,80,302,1465,0,1,Energiesparen,2022-03-10 10:31:39.521978
70,80,80,80,302,1465,0,1,Bitte warten,2022-03-10 10:39:09.231742
70,80,80,80,302,1467,0,1,Energiesparen,2022-03-10 11:56:50.387852
70,80,80,80,302,1467,0,1,Ausdruck,2022-03-10 12:02:32.662698
70,80,80,80,302,1469,0,1,Energiesparen,2022-03-10 15:51:08.537679
70,80,80,80,302,1470,0,1,Energiesparen,2022-03-10 16:24:29.530475
