TonerBK,TonerC,TonerM,TonerY,Printed_BW,Printed_BCYM,Copied_BW,Copied_BCYM,Status_Report,Time_Stamp
80,40,10,20,219,1288,3,8,Toner bestellen ,2023-01-03 11:01:39.819382
80,40,10,20,219,1288,3,8,err,2023-01-04 14:40:22.901672
80,40,10,20,219,1306,3,8,err,2023-03-01 12:31:50.501188
80,40,10,20,240,1346,3,8,err,2023-03-09 14:05:40.588721
80,40,10,20,240,1347,3,8,err,2023-03-09 15:36:27.444184
80,40,0,20,240,1360,3,8,err,2023-03-10 12:33:32.174611
80,40,0,10,240,1366,3,8,err,2023-03-10 14:19:43.626238
80,40,100,100,240,1368,3,8,err,2023-03-21 11:26:27.810322
80,40,100,100,250,1368,3,8,err,2023-03-21 15:19:50.471600
80,40,100,100,250,1369,3,8,err,2023-03-21 15:45:07.040308
80,40,100,100,250,1369,3,8,Bitte warten,2023-03-21 15:50:11.625114
80,40,100,100,250,1371,3,8,err,2023-03-21 16:00:23.226625
80,40,100,100,250,1375,3,8,err,2023-03-22 13:42:47.427160
80,40,100,100,250,1376,3,8,Ausdruck,2023-03-22 13:47:53.506361
80,40,100,100,250,1377,3,8,err,2023-03-22 16:19:32.464197
80,40,100,100,250,1380,3,8,err,2023-03-23 16:06:13.918124
80,40,100,100,258,1380,3,8,err,2023-03-24 15:20:58.708383
80,40,100,100,258,1387,3,8,err,2023-03-27 16:13:31.002233
80,30,100,100,258,1392,3,8,err,2023-04-03 17:24:55.409330
80,30,100,100,258,1399,3,8,err,2023-04-06 13:20:00.519206
80,30,100,100,258,1399,3,8,Bitte warten,2023-04-06 13:25:04.334847
80,30,100,100,258,1402,3,8,err,2023-04-17 12:02:55.197999
80,30,100,100,258,1403,3,8,err,2023-04-17 12:13:04.962995
80,30,100,100,258,1404,3,8,err,2023-04-17 14:55:05.931987
80,30,100,100,258,1404,5,8,err,2023-04-17 16:36:19.580681
80,30,100,100,259,1405,5,8,err,2023-04-19 11:31:27.027755
80,30,100,100,259,1405,20,8,err,2023-04-21 08:45:21.256018
80,30,100,100,259,1405,20,8,Bitte warten,2023-04-21 08:50:21.457543
80,30,100,100,259,1405,20,8,err,2023-04-21 13:46:25.199168
80,30,100,100,262,1405,20,8,Ausdruck,2023-04-21 13:51:23.378657
80,30,100,100,267,1405,20,8,err,2023-04-24 13:56:40.339475
80,30,100,100,267,1406,20,8,Ausdruck,2023-04-24 14:01:43.957386
80,30,100,100,267,1407,20,8,err,2023-04-26 10:23:40.930789
80,30,100,100,267,1408,20,8,err,2023-04-26 13:51:40.914396
80,30,100,100,268,1408,20,8,err,2023-05-03 15:59:13.927072
80,30,100,100,269,1408,20,8,err,2023-05-09 16:45:07.652495
80,30,100,100,302,1408,24,8,err,2023-05-11 16:08:08.244414
80,30,100,100,303,1408,24,8,err,2023-05-12 11:44:40.371406
80,30,100,100,304,1410,24,8,Bereit,2023-05-12 11:49:45.583299
80,30,100,100,304,1411,24,8,err,2023-05-12 11:59:51.057406
80,30,100,100,304,1411,24,8,Bitte warten,2023-05-12 12:04:59.812419
80,30,100,100,308,1411,24,8,err,2023-05-12 12:40:47.768825
80,30,100,100,308,1411,24,8,Bitte warten,2023-05-12 12:45:51.112599
80,30,100,100,309,1412,24,8,err,2023-05-12 15:53:39.340746
80,30,100,100,309,1412,34,8,err,2023-05-15 13:48:20.176783
80,30,100,100,309,1412,34,8,Ausdruck,2023-05-15 13:53:35.410050
70,30,100,100,310,1413,34,8,err,2023-05-15 16:30:27.587188
70,30,100,100,311,1414,34,8,err,2023-05-16 13:45:32.507311
70,30,100,100,311,1414,34,10,err,2023-05-24 13:00:46.415792
70,30,100,100,312,1414,34,10,err,2023-05-24 14:01:32.780835
70,30,100,100,312,1416,34,10,err,2023-05-30 15:37:07.289577
70,30,100,100,316,1417,34,10,err,2023-06-05 11:28:06.663180
70,30,100,100,317,1417,34,10,Bereit,2023-06-05 11:33:07.696963
70,30,100,100,317,1417,34,10,err,2023-06-05 12:34:00.051732
70,30,100,100,319,1417,36,10,err,2023-06-07 14:04:30.963917
70,30,100,100,321,1417,36,10,err,2023-06-13 15:58:10.140866
70,30,100,100,327,1417,36,10,err,2023-06-13 17:19:18.199810
70,30,100,100,327,1417,37,10,err,2023-06-15 13:26:48.563458
70,30,100,100,330,1417,37,10,err,2023-06-15 16:50:05.427217
70,30,100,100,336,1417,38,14,err,2023-06-21 11:29:54.060179
70,30,100,100,336,1417,38,14,Ausdruck,2023-06-21 11:34:58.039471
70,30,100,100,337,1417,38,14,err,2023-06-28 13:29:17.983141
70,30,100,100,339,1417,38,14,err,2023-06-28 14:00:20.871317
70,30,100,100,341,1425,38,14,err,2023-07-03 12:34:54.113916
70,30,100,100,341,1425,38,23,err,2023-07-04 11:58:54.264873
70,30,100,100,344,1425,38,23,err,2023-07-04 13:25:08.805789
70,30,100,100,344,1428,38,23,err,2023-07-05 08:59:48.162399
70,30,100,90,531,1488,39,26,err,2023-08-15 13:04:02.398223
60,20,100,90,532,1512,39,26,err,2023-08-23 14:17:23.548045
60,20,100,90,536,1556,39,26,err,2023-08-31 09:27:50.678616
