TonerBK,TonerC,TonerM,TonerY,Printed_BW,Printed_BCYM,Copied_BW,Copied_BCYM,Status_Report,Time_Stamp
90,30,30,20,195,705,187,19,Energiesparen,2022-12-22 10:47:43.506411
90,30,20,20,199,740,187,19,Energiesparen,2023-01-03 11:01:39.167887
90,30,20,20,199,740,187,19,err,2023-01-03 16:34:04.293578
90,30,20,20,200,740,187,19,err,2023-01-04 10:57:36.887470
90,30,20,20,200,740,187,20,err,2023-01-04 11:07:43.948563
90,30,20,20,200,740,189,20,err,2023-01-04 11:33:04.952022
90,30,20,20,201,740,189,20,err,2023-01-04 11:38:07.128373
90,30,20,20,203,740,189,20,err,2023-01-04 11:48:14.687606
90,30,20,20,205,740,189,20,err,2023-01-04 11:58:21.847174
90,30,20,20,205,740,190,20,err,2023-01-04 12:08:30.609061
90,30,20,20,207,740,190,20,Bereit,2023-01-04 12:13:39.873593
90,30,20,20,210,740,190,20,Bereit,2023-01-04 12:18:36.946422
90,30,20,20,212,740,190,20,err,2023-01-04 12:23:42.554255
90,30,20,20,214,740,190,20,err,2023-01-04 12:28:51.054678
90,30,20,20,215,740,193,20,Bereit,2023-01-04 12:33:53.147498
90,30,20,20,215,740,193,20,err,2023-01-04 12:49:00.591311
90,30,20,20,215,743,193,20,err,2023-01-04 12:54:02.948771
90,30,20,20,215,745,193,20,err,2023-01-04 14:40:22.087412
80,20,10,10,299,859,196,20,err,2023-03-01 11:25:55.606795
80,20,10,10,299,860,196,20,err,2023-03-01 12:31:34.807543
80,10,10,10,317,868,196,20,err,2023-03-10 12:43:40.643132
80,10,10,10,317,868,196,20,Bitte warten,2023-03-10 12:48:41.836128
80,10,10,0,317,870,196,20,err,2023-03-10 15:56:03.220230
80,10,10,0,325,872,196,20,err,2023-03-15 12:06:48.466704
80,10,10,0,325,874,196,20,err,2023-03-16 10:02:19.990715
80,10,10,0,325,875,196,20,err,2023-03-16 11:07:50.659768
80,10,10,0,325,878,196,20,err,2023-03-16 13:39:39.981565
80,10,10,100,325,878,196,20,err,2023-03-20 11:15:54.703571
80,10,10,100,335,878,196,20,err,2023-03-20 14:18:24.253388
80,10,10,100,338,878,196,20,err,2023-03-20 14:23:19.239134
80,10,10,100,339,878,196,20,err,2023-03-21 09:29:25.812173
80,10,10,100,340,878,196,20,err,2023-03-21 15:29:58.644014
80,10,10,100,341,878,196,20,err,2023-03-22 16:30:18.893920
80,10,10,100,343,878,196,20,err,2023-03-24 10:47:32.050370
80,10,10,100,343,879,196,20,err,2023-03-24 10:52:32.888390
80,10,10,100,343,881,196,20,err,2023-03-24 11:02:49.535520
80,10,0,100,343,883,196,20,err,2023-03-24 11:07:47.246829
