TonerBK,TonerC,TonerM,TonerY,Printed_BW,Printed_BCYM,Copied_BW,Copied_BCYM,Status_Report,Time_Stamp
80,90,90,90,31,115,78,48,Energiesparen,2021-12-22 07:55:52.601273
80,90,90,90,42,144,82,51,Energiesparen,2022-07-12 10:42:46.718781
80,90,90,90,44,145,82,51,Bereit,2022-07-12 10:47:49.841275
80,90,90,90,44,145,82,51,Energiesparen,2022-07-12 10:57:56.275884
80,90,90,90,45,146,82,51,Energiesparen,2022-07-12 15:25:39.179885
40,60,60,60,78,416,107,72,Energiesparen,2022-12-22 10:20:03.820637
30,60,60,60,78,420,107,72,Energiesparen,2022-12-22 10:45:30.510343
30,60,60,60,82,439,107,72,Energiesparen,2023-01-03 10:59:32.712190
30,60,60,60,82,440,107,72,err,2023-01-03 14:55:16.146625
30,60,60,60,82,440,107,77,err,2023-01-04 13:47:42.864017
30,60,60,60,82,441,107,77,err,2023-01-04 14:28:14.819273
30,60,60,60,82,442,107,77,err,2023-01-04 14:38:22.922743
100,50,50,50,125,558,112,92,err,2023-03-01 12:18:52.195720
100,50,50,50,125,561,112,92,err,2023-03-01 12:32:22.970907
100,50,50,40,137,566,112,92,err,2023-03-10 15:53:13.194098
100,50,50,40,139,566,112,92,err,2023-03-15 10:23:37.616895
100,40,40,40,139,586,112,92,Bereit,2023-03-15 10:28:40.295617
100,40,40,40,139,586,112,92,err,2023-03-15 10:48:53.883456
100,40,40,40,140,586,112,92,err,2023-03-15 11:34:25.923205
100,40,40,40,146,586,112,92,err,2023-03-15 14:11:08.630227
100,40,40,40,146,586,112,93,err,2023-03-17 12:43:38.058162
