TonerBK,TonerC,TonerM,TonerY,Printed_BW,Printed_BCYM,Copied_BW,Copied_BCYM,Status_Report,Time_Stamp
21,55,97,80,191982,276779,428181,188738,Ruhemodus...,2021-12-28 15:57:36.247481
21,55,97,80,191982,276779,428181,188738,Energiesparmodus,2021-12-29 10:30:08.609834
21,55,97,80,191983,276779,428181,188738,Energiesparmodus,2021-12-29 11:30:08.727171
21,55,97,80,191983,276779,428181,188738,Ruhemodus...,2021-12-29 16:00:10.105294
21,55,97,79,191983,276782,428181,188932,Energiesparmodus,2022-01-03 08:28:16.583281
21,55,97,79,191983,276784,428181,188932,Energiesparmodus,2022-01-03 08:58:17.018503
21,55,97,79,191983,276788,428181,188932,Energiesparmodus,2022-01-03 09:58:17.177601
21,55,97,79,191983,276788,428184,188932,Energiesparmodus,2022-01-03 10:58:17.577547
21,55,97,79,191983,276788,428184,188932,Ruhemodus...,2022-01-03 11:28:17.965233
21,55,97,79,191984,276788,428184,188932,Ruhemodus...,2022-01-03 13:24:08.016332
21,55,97,79,191984,276789,428184,188932,Energiesparmodus,2022-01-03 13:54:08.231451
21,55,97,79,191984,276789,428184,188932,Energiesparmodus,2022-01-03 14:24:11.680264
21,55,97,79,191984,276789,428184,188932,Ruhemodus...,2022-01-03 16:34:32.874808
21,55,97,79,191989,276793,428185,188932,Energiesparmodus,2022-01-04 08:43:39.898520
21,55,97,79,191989,276793,428185,188932,Energiesparmodus,2022-01-04 09:04:57.914144
21,54,97,79,191989,276794,428185,188933,Energiesparmodus,2022-01-04 09:48:09.846490
21,54,97,79,191989,276794,428185,188933,Energiesparmodus,2022-01-04 10:19:04.431750
21,54,97,79,191990,276795,428185,188934,Ruhemodus...,2022-01-05 12:41:58.151803
19,52,96,77,192002,277222,428185,189382,Ruhemodus...,2022-01-06 12:29:35.315837
19,52,96,77,192002,277222,428185,189382,Ruhemodus...,2022-01-06 16:04:51.243955
