TonerBK,TonerC,TonerM,TonerY,Printed_BW,Printed_BCYM,Copied_BW,Copied_BCYM,Status_Report,Time_Stamp
51,NaN,NaN,NaN,18994,NaN,3132,NaN,Ruhemodus,2022-01-04 10:12:58.920672
50,NaN,NaN,NaN,19009,NaN,3133,NaN,Ruhemodus,2022-01-05 12:39:29.834692
50,NaN,NaN,NaN,19014,NaN,3134,NaN,Energiesparmodus,2022-01-06 12:28:40.959052
50,NaN,NaN,NaN,19015,NaN,3134,NaN,Ruhemodus,2022-01-06 13:00:22.427128
50,NaN,NaN,NaN,19015,NaN,3134,NaN,Ruhemodus,2022-01-06 16:03:49.757942
50,NaN,NaN,NaN,19016,NaN,3134,NaN,Ruhemodus,2022-01-07 13:41:44.382552
50,NaN,NaN,NaN,19017,NaN,3134,NaN,Ruhemodus,2022-01-07 14:56:52.668004
50,NaN,NaN,NaN,19018,NaN,3135,NaN,Ruhemodus,2022-01-11 09:52:50.475248
50,NaN,NaN,NaN,19018,NaN,3135,NaN,Ruhemodus,2022-01-12 14:30:53.405993
50,NaN,NaN,NaN,19018,NaN,3136,NaN,Energiesparmodus,2022-01-12 15:05:34.249548
50,NaN,NaN,NaN,19018,NaN,3136,NaN,Ruhemodus,2022-01-12 16:24:20.692897
50,NaN,NaN,NaN,19019,NaN,3136,NaN,Ruhemodus,2022-01-13 09:55:57.125080
50,NaN,NaN,NaN,19020,NaN,3136,NaN,Ruhemodus,2022-01-13 11:58:30.240056
50,NaN,NaN,NaN,19021,NaN,3136,NaN,Ruhemodus,2022-01-13 16:06:18.301939
50,NaN,NaN,NaN,19044,NaN,3136,NaN,Ruhemodus,2022-01-14 10:26:15.358485
50,NaN,NaN,NaN,19046,NaN,3136,NaN,Ruhemodus,2022-01-14 11:37:09.521161
49,NaN,NaN,NaN,19047,NaN,3136,NaN,Ruhemodus,2022-01-14 12:14:29.220492
49,NaN,NaN,NaN,19047,NaN,3136,NaN,Ruhemodus,2022-01-14 14:03:13.786606
49,NaN,NaN,NaN,19049,NaN,3136,NaN,Ruhemodus,2022-01-14 14:38:30.605882
49,NaN,NaN,NaN,19056,NaN,3137,NaN,Ruhemodus,2022-01-17 12:21:03.013118
49,NaN,NaN,NaN,19057,NaN,3137,NaN,Ruhemodus,2022-01-17 16:24:08.533186
49,NaN,NaN,NaN,19058,NaN,3137,NaN,Ruhemodus,2022-01-18 08:38:56.204372
49,NaN,NaN,NaN,19070,NaN,3137,NaN,Ruhemodus,2022-01-18 13:55:51.929792
49,NaN,NaN,NaN,19075,NaN,3137,NaN,Ruhemodus,2022-01-18 14:36:31.114809
49,NaN,NaN,NaN,19076,NaN,3137,NaN,Ruhemodus,2022-01-18 16:21:13.082297
49,NaN,NaN,NaN,19077,NaN,3137,NaN,Ruhemodus,2022-01-19 09:00:00.033608
49,NaN,NaN,NaN,19080,NaN,3137,NaN,Ruhemodus,2022-01-20 15:20:43.988502
49,NaN,NaN,NaN,19083,NaN,3137,NaN,Ruhemodus,2022-01-20 15:55:41.408176
49,NaN,NaN,NaN,19084,NaN,3137,NaN,Bitte warten,2022-01-20 16:30:20.517168
49,NaN,NaN,NaN,19084,NaN,3137,NaN,Ruhemodus,2022-01-21 13:15:50.792693
49,NaN,NaN,NaN,19085,NaN,3137,NaN,Ruhemodus,2022-01-21 15:00:07.316438
49,NaN,NaN,NaN,19085,NaN,3137,NaN,Energiesparmodus,2022-01-24 07:56:13.695719
49,NaN,NaN,NaN,19086,NaN,3137,NaN,Ruhemodus,2022-01-24 11:41:13.250203
49,NaN,NaN,NaN,19086,NaN,3137,NaN,Lade Kassette 1,2022-01-24 12:16:01.955946
49,NaN,NaN,NaN,19086,NaN,3139,NaN,Ruhemodus,2022-01-24 15:44:17.145964
49,NaN,NaN,NaN,19088,NaN,3139,NaN,Ruhemodus,2022-01-24 16:18:53.202236
49,NaN,NaN,NaN,19089,NaN,3139,NaN,Ruhemodus,2022-01-25 08:11:34.234163
49,NaN,NaN,NaN,19091,NaN,3139,NaN,Ruhemodus,2022-01-25 09:22:22.478162
49,NaN,NaN,NaN,19091,NaN,3139,NaN,Bitte warten,2022-01-25 09:44:14.627499
49,NaN,NaN,NaN,19093,NaN,3139,NaN,Ruhemodus,2022-01-25 09:58:06.593314
48,NaN,NaN,NaN,19099,NaN,3139,NaN,Ruhemodus,2022-01-25 10:54:15.585374
48,NaN,NaN,NaN,19099,NaN,3139,NaN,Energiesparmodus,2022-01-25 11:08:42.108282
48,NaN,NaN,NaN,19099,NaN,3139,NaN,Ruhemodus,2022-01-25 16:02:51.627152
48,NaN,NaN,NaN,19099,NaN,3144,NaN,Ruhemodus,2022-01-26 10:35:21.316537
48,NaN,NaN,NaN,19101,NaN,3144,NaN,Ruhemodus,2022-01-26 14:11:51.952138
48,NaN,NaN,NaN,19102,NaN,3144,NaN,Ruhemodus,2022-01-28 11:02:51.997637
48,NaN,NaN,NaN,19106,NaN,3144,NaN,Ruhemodus,2022-01-28 14:31:21.699997
48,NaN,NaN,NaN,19107,NaN,3144,NaN,Ruhemodus,2022-01-31 08:51:19.425163
48,NaN,NaN,NaN,19110,NaN,3144,NaN,Ruhemodus,2022-01-31 16:08:29.594250
48,NaN,NaN,NaN,19111,NaN,3144,NaN,Ruhemodus,2022-02-01 11:21:06.486727
48,NaN,NaN,NaN,19113,NaN,3144,NaN,Ruhemodus,2022-02-01 15:24:09.355510
48,NaN,NaN,NaN,19113,NaN,3144,NaN,Bereit,2022-02-01 15:58:47.803523
48,NaN,NaN,NaN,19114,NaN,3144,NaN,Ruhemodus,2022-02-02 09:34:30.819889
48,NaN,NaN,NaN,19120,NaN,3144,NaN,Ruhemodus,2022-02-02 10:24:42.345003
48,NaN,NaN,NaN,19122,NaN,3144,NaN,Bitte warten,2022-02-02 11:09:44.729294
48,NaN,NaN,NaN,19124,NaN,3144,NaN,Ruhemodus,2022-02-02 16:08:45.338840
48,NaN,NaN,NaN,19129,NaN,3144,NaN,Ruhemodus,2022-02-07 13:46:40.538814
48,NaN,NaN,NaN,19130,NaN,3144,NaN,Ruhemodus,2022-02-08 13:29:32.680481
48,NaN,NaN,NaN,19132,NaN,3144,NaN,Ruhemodus,2022-02-09 09:24:19.822631
48,NaN,NaN,NaN,19133,NaN,3144,NaN,Ruhemodus,2022-02-09 15:49:43.785304
48,NaN,NaN,NaN,19137,NaN,3144,NaN,Ruhemodus,2022-02-09 16:24:25.786027
48,NaN,NaN,NaN,19138,NaN,3144,NaN,Ruhemodus,2022-02-10 16:04:13.118397
48,NaN,NaN,NaN,19139,NaN,3144,NaN,Ruhemodus,2022-02-14 15:56:29.057113
48,NaN,NaN,NaN,19140,NaN,3144,NaN,Ruhemodus,2022-02-14 16:31:28.356097
48,NaN,NaN,NaN,19140,NaN,3145,NaN,Energiesparmodus,2022-02-15 07:57:40.907169
48,NaN,NaN,NaN,19140,NaN,3145,NaN,Ruhemodus,2022-02-15 08:52:33.122770
48,NaN,NaN,NaN,19141,NaN,3145,NaN,Ruhemodus,2022-02-15 10:00:34.304452
48,NaN,NaN,NaN,19142,NaN,3145,NaN,Ruhemodus,2022-02-15 16:26:49.866632
48,NaN,NaN,NaN,19146,NaN,3146,NaN,Ruhemodus,2022-02-21 15:18:25.770565
47,NaN,NaN,NaN,19151,NaN,3146,NaN,Ruhemodus,2022-02-22 07:53:58.290785
47,NaN,NaN,NaN,19152,NaN,3146,NaN,Ruhemodus,2022-02-22 09:04:56.834439
47,NaN,NaN,NaN,19154,NaN,3146,NaN,Ruhemodus,2022-02-22 10:15:24.943590
47,NaN,NaN,NaN,19155,NaN,3146,NaN,Ruhemodus,2022-02-22 14:18:04.200537
47,NaN,NaN,NaN,19157,NaN,3146,NaN,Ruhemodus,2022-02-22 16:02:03.447457
47,NaN,NaN,NaN,19158,NaN,3147,NaN,Ruhemodus,2022-02-24 12:13:38.350365
47,NaN,NaN,NaN,19159,NaN,3147,NaN,Ruhemodus,2022-02-24 13:23:12.330451
47,NaN,NaN,NaN,19161,NaN,3147,NaN,Ruhemodus,2022-02-24 13:57:58.600116
47,NaN,NaN,NaN,19162,NaN,3147,NaN,Ruhemodus,2022-02-24 15:07:22.430122
47,NaN,NaN,NaN,19165,NaN,3147,NaN,Ruhemodus,2022-02-24 16:16:38.841030
47,NaN,NaN,NaN,19169,NaN,3147,NaN,Ruhemodus,2022-02-25 10:52:54.304269
