TonerBK,TonerC,TonerM,TonerY,Printed_BW,Printed_BCYM,Copied_BW,Copied_BCYM,Status_Report,Time_Stamp
65,6,17,6,6719,9740,409,5433,Ruhemodus...,2022-12-22 10:47:43.162438
65,6,17,6,6739,9760,409,5436,Ruhemodus...,2023-01-03 16:39:11.024405
65,6,17,6,6739,9760,409,5437,Ruhemodus...,2023-01-04 09:36:41.046530
65,6,17,6,6739,9761,409,5437,Ruhemodus...,2023-01-04 09:41:40.284696
65,6,17,6,6739,9762,409,5437,Ruhemodus...,2023-01-04 11:17:53.567122
65,6,17,6,6739,9763,409,5437,Ruhemodus...,2023-01-04 14:40:21.836453
61,6,15,6,6805,9851,548,5488,Ruhemodus...,2023-03-01 12:31:31.624867
60,6,15,6,6810,9895,600,5529,Ruhemodus...,2023-03-10 11:52:45.223855
60,6,15,6,6810,9895,610,5529,Ruhemodus...,2023-03-10 13:29:06.353469
60,6,15,6,6810,9896,610,5529,Ruhemodus...,2023-03-10 15:56:02.895130
60,6,14,6,6812,9900,616,5529,Ruhemodus...,2023-03-15 16:19:57.728638
60,6,14,6,6820,9904,619,5529,Ruhemodus...,2023-03-16 10:57:39.621709
60,6,14,6,6824,9904,619,5529,Ruhemodus...,2023-03-16 13:59:47.290180
60,6,14,6,6824,9904,634,5529,err,2023-03-16 14:04:55.335893
60,6,14,6,6824,9904,639,5529,Ruhemodus...,2023-03-16 15:46:11.750606
60,6,14,6,6825,9904,639,5529,Ruhemodus...,2023-03-17 15:30:55.017514
60,6,14,6,6825,9905,639,5529,Ruhemodus...,2023-03-20 10:15:19.136463
60,6,14,6,6826,9905,639,5529,Ruhemodus...,2023-03-21 10:55:10.117789
60,6,14,6,6826,9905,640,5529,Bereit,2023-03-21 11:00:26.937362
60,6,14,6,6826,9905,640,5529,Ruhemodus...,2023-03-22 10:25:34.636468
60,6,14,6,6828,9906,640,5529,Ruhemodus...,2023-03-22 10:40:45.686127
60,6,14,6,6828,9908,640,5529,Ruhemodus...,2023-03-22 14:02:59.702025
60,6,14,6,6828,9909,641,5529,Bereit,2023-03-22 14:08:03.100744
60,6,14,6,6828,9909,641,5529,Ruhemodus...,2023-03-23 11:17:11.534572
60,6,14,6,6828,9910,641,5529,Ruhemodus...,2023-03-23 16:06:12.511423
