Serial_No,CartBK,CartC,CartM,CartY,Location,Contact,Notes
LW16945225,TK-1140,NaN,NaN,NaN,NaN,Domaene - Gaestehaus Empfang,NaN
E74552K5J157940,TN-242BK,TN-246C,TN-246M,TN-246Y,HA1.OGRaum19,FrauZienert,NaN
E79028F1N485578,TN-247BK,TN-247C,TN-247M,TN-247Y,Verwaltung-HA11.OGRaum15,BüroFrei,NaN
E79032E1N463928,TN-247BK,TN-247C,TN-247M,TN-247Y,NaN,NaN,NaN
R4Q8X09105,TK-3190,NaN,NaN,NaN,NaN,Frau Willius,NaN
L875533842,TK-8305K,TK-8305C,TK-8305M,TK-8305Y,NaN,Dekoration,NaN
E79028J1N561453,TN-247BK,TN-247C,TN-247M,TN-247Y,HA-1.OG-BüroFrauBeuth,FrauBeuth,NaN
W2J8718679,TK-8515K,TK-8515C,TK-8515M,TK-8515Y,NaN,2. OG Coachraum,NaN
N2E3508435,TK-8505K,TK-8505C,TK-8505M,TK-8505Y,NaN,NaN,NaN
RC68600478,TK-5280K,TK-5280C,TK-5280M,TK-5280Y,NaN,NaN,NaN
VNN8710351,TK-6325,NaN,NaN,NaN,NaN,Fr. Zacharias (Teekueche),NaN
RC69604720,TK-5280K,TK-5280C,TK-5280M,TK-5280Y,NaN,Buero - Herr Diehl (Obstbau 625),NaN
RC69604927,TK-5280K,TK-5280CS,TK-5280MS,TK-5280YS,NaN,Buero Frau Bachmann,NaN
E71809E4J366792,TN-241BK,TN-245C,TN-245M,TN-245Y,NaN,NaN,NaN
E74554L7J579217,TN-242BK,TN-246C,TN-246M,TN-246Y,HA2.OGRaum13,NaN,NaN
E73473G5J239722,TN-326BK,TN-326C,TN-326M,TN-326Y,NaN,NaN,NaN
E79028H1N561157,TN-247BK,TN-247C,TN-247M,TN-247Y,HA-1.OGRaum14-BüroFrauAntl,FrauAntl,NaN
E79028J1N561471,TN-247BK,TN-247C,TN-247M,TN-247Y,HA-1.OGRaum11-BüroFrauFrank,FrauFrank,NaN
E79015H9N609677,TN-247BK,TN-247C,TN-247M,TN-247Y,Bitz,WJW-Bitz,NaN
E69498M0J145493,TN-325BK,TN-325C,TN-325M,TN-325Y,1. OG Büro Metall,Herr Schwarz,NaN
RC61513399,TK-5280K,TK-5280C,TK-5280M,TK-5280Y,NaN,Buero Fr. Domas,NaN
E69498K0J129772,TN-325BK,TN-325C,TN-325M,TN-325Y,WJW Herr Fink,NaN,NaN
E79028H9N631619,TN-247BK,TN-247C,TN-247M,TN-247Y,BüroHerrBöhm,NaN,NaN
E79028J1N561477,TN-247BK,TN-247C,TN-247M,TN-247Y,HA-1.OGRaum10-BüroFrauNnaji,FrauNnaji,NaN
E74552K5J157950,TN-242BK,TN-246C,TN-246M,TN-246Y,NaN,NaN,NaN
E79028J1N561476,TN-247BK,TN-247C,TN-247M,TN-247Y,HA-1.OGRaum18-BüroHerrZimmerschied,HerrZimmerschied,NaN
RC60609776,TK-5280K,TK-5280C,TK-5280M,TK-5280Y,NaN,Buero Debitoren,NaN
E79028J1N561465,TN-247BK,TN-247C,TN-247M,TN-247Y,HA-1.OGRaum12,FrauManthei,NaN
QQX9600567,TK-130,NaN,NaN,NaN,NaN,NaN,NaN
E74552K4J513105,TN-242BK,TN-246C,TN-246M,TN-246Y,WJWMetall(Hr.KristsBüro),NaN,NaN
E69498J2J353611,TN-325BK,TN-325C,TN-325M,TN-325Y,WJW Herr Volland,NaN,NaN
E74552E7J196433,TN-242BK,TN-246C,TN-246M,TN-246Y,Debitorenbuchhaltung-Fr.Vilenius,NaN,NaN
E79028D1N435099,TN-247BK,TN-247C,TN-247M,TN-247Y,NaN,NaN,NaN
E79015J0N198441,TN-247BK,TN-247C,TN-247M,TN-247Y,Verwaltung-A21.OGRaum8,Dr.Zieglgänsberger,NaN
E74555D8J820292,TN-242BK,TN-246C,TN-246M,TN-246Y,NaN,NaN,NaN
E74552J7J439390,TN-242BK,TN-246C,TN-246M,TN-246Y,NaN,NaN,NaN
E74555M7J635297,TN-242BK,TN-246C,TN-246M,TN-246Y,Elektronik|HerrVogtBüro,NaN,NaN
W2J8718286,TK-8515K,TK-8515C,TK-8515M,TK-8515Y,NaN,Personalabteilung,NaN
E79028J0N207300,TN-247BK,TN-247C,TN-247M,TN-247Y,RinderhaltungBuero,Hr.Paul,NaN
E74552J6J693052,TN-242BK,TN-246C,TN-246M,TN-246Y,BueroGirschick,HerrGirschick,NaN
E74555E8J891679,TN-242BK,TN-246C,TN-246M,TN-246Y,Büro:FrauAndreatta,FrauAndreatta,NaN
E74552J5J989713,TN-242BK,TN-246C,TN-246M,TN-246Y,VerwaltungA22.OGRaum8,Hr.Martens,NaN
E74552C6J373779,TN-242BK,TN-246C,TN-246M,TN-246Y,BüroVerwaltung,Fr.MillowMüller,NaN
E74555E8J891717,TN-242BK,TN-246C,TN-246M,TN-246Y,DomäneMechtildshausenFrauHallé,WJWIT,NaN
E79028D1N412406,TN-247BK,TN-247C,TN-247M,TN-247Y,NaN,NaN,NaN
RC68Y02592,TK-5280K,TK-5280C,TK-5280MS,TK-5280YS,NaN,NaN,NaN
RC68600835,TK-5280K,TK-5280C,TK-5280M,TK-5280Y,NaN,Buero Fr Zacharias,NaN
E79028A1N380410,TN-247BK,TN-247C,TN-247M,TN-247Y,BüroFr.Germann,Fr.Germann,NaN
E79015J0N198445,TN-247BK,TN-247C,TN-247M,TN-247Y,Abteilung:Maler,NaN,NaN
E74552D6J442270,TN-242BK,TN-246C,TN-246M,TN-246Y,Weinstube(BüroDirenc),NaN,NaN
Q630304940,TK-170,NaN,NaN,NaN,NaN,NaN,NaN
E79028F1N485593,TN-247BK,TN-247C,TN-247M,TN-247Y,Verwaltung-HA11.OGRaum9,FrauBernheim,NaN
E69498J1J225635,TN-325BK,TN-325C,TN-325M,TN-325Y,IT Umschueler / 2. Stock,NaN,NaN
