Serial_No,IP,Manufacture,Model,CostBK,CostCYM,UsedBK,UsedCYM,PagesBK,PagesCYM,PagesPerBK,PagesPerCYM,DaysTotal,UsedBK_daily,UsedCYM_daily,PagesBK_daily,PagesCYM_daily,CostPerBK,CostPerCYM
E74552K5J157940,172.20.10.94,Brother,MFC-9142CDN,50.17,70.25,70,220,464,1063,2181.42,483.18,84,0.83,0.87,5.52,12.65,0.022,0.145
E79028F1N485578,172.20.10.59,Brother,MFC-L3750CDW,64.03,73.94,10,50,51,307,3580.0,614.0,84,0.11,0.19,0.60,3.65,0.017,0.120
LW16945225,172.20.20.71,Kyocera,ECOSYS M2535dn,75.37,NaN,27,NaN,1613,NaN,5974.07,NaN,78,0.34,NaN,20.67,NaN,0.012,NaN
E79032E1N463928,172.20.12.142,Brother,MFC-L3770CDW,64.03,73.94,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN
R4Q8X09105,172.20.20.94,Kyocera,ECOSYS M3655idn,107.23,NaN,104,NaN,19353,NaN,18608.65,NaN,83,1.25,NaN,233.16,NaN,0.005,NaN
L875533842,172.20.20.75,Kyocera,TASKalfa 3051ci,65.78,94.81,38,87,3098,5703,23160.52,6555.17,77,0.49,0.37,40.23,74.06,0.002,0.014
E79028J1N561453,172.20.10.51,Brother,MFC-L3750CDW,64.03,73.94,80,260,218,1864,2602.5,716.92,77,1.03,1.12,2.83,24.20,0.024,0.103
W2J8718679,172.20.10.88,Kyocera,TASKalfa 5052ci,55.25,112.04,28,63,4094,6946,39428.57,11025.39,77,0.36,0.27,53.16,90.20,0.001,0.010
N2E3508435,172.20.10.99,Kyocera,TASKalfa 4550ci,81.41,122.23,30,109,714,13397,47036.66,12290.82,77,0.38,0.47,9.27,173.98,0.001,0.009
RC68600478,172.20.10.58,Kyocera,ECOSYS M6635cidn,135.46,172.89,5,21,284,1251,30700.0,5957.14,57,0.08,0.12,4.98,21.94,0.004,0.029
VNN8710351,172.20.10.113,Kyocera,TASKalfa 4002i,99.71,NaN,24,NaN,8787,NaN,36612.5,NaN,77,0.31,NaN,114.11,NaN,0.002,NaN
RC69604720,172.20.20.28,Kyocera,ECOSYS M6635cidn,135.46,172.89,4,7,108,312,10500.0,4457.14,57,0.07,0.04,1.89,5.47,0.012,0.038
RC69604927,172.20.20.88,Kyocera,ECOSYS M6635cidn,135.46,172.89,1,4,2,140,14200.0,3500.0,57,0.01,0.02,0.03,2.45,0.009,0.049
E71809E4J366792,172.20.10.130,Brother,MFC-9140CDN,49.93,70.65,20,40,259,170,2145.0,425.0,75,0.26,0.17,3.45,2.26,0.023,0.166
E74554L7J579217,172.20.10.103,Brother,MFC-9332CDW,50.17,70.25,130,330,1378,2010,2606.15,609.09,75,1.73,1.46,18.37,26.8,0.019,0.115
E73473G5J239722,172.20.15.170,Brother,MFC-L8650CDW,50.46,104.75,20,70,43,797,4200.0,1138.57,75,0.26,0.31,0.57,10.62,0.012,0.092
E79028H1N561157,172.20.10.117,Brother,MFC-L3750CDW,64.03,73.94,30,160,169,872,3470.0,545.0,75,0.4,0.71,2.25,11.62,0.018,0.135
E79028J1N561471,172.20.10.66,Brother,MFC-L3750CDW,64.03,73.94,70,230,160,843,1432.85,366.52,75,0.93,1.02,2.13,11.24,0.044,0.201
E79015H9N609677,172.20.10.132,Brother,DCP-L3510CDW,64.03,73.94,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN
E69498M0J145493,172.20.10.111,Brother,MFC-9460CDN,50.28,104.30,120,170,3147,1694,4034.16,996.47,71,1.69,0.79,44.32,23.85,0.012,0.104
RC61513399,172.20.10.108,Kyocera,ECOSYS M6635cidn,135.46,172.89,33,101,2317,1926,12857.57,1906.93,57,0.57,0.59,40.64,33.78,0.010,0.090
E69498K0J129772,172.20.10.104,Brother,MFC-9460CDN,50.28,104.30,80,210,907,913,2275.0,434.76,71,1.12,0.98,12.77,12.85,0.022,0.239
E79028H9N631619,172.20.10.71,Brother,MFC-L3750CDW,64.03,73.94,90,10,793,68,956.66,680.0,67,1.34,0.04,11.83,1.01,0.066,0.108
E79028J1N561477,172.20.10.79,Brother,MFC-L3750CDW,64.03,73.94,50,190,154,640,1588.0,336.84,71,0.70,0.89,2.16,9.01,0.040,0.219
E74552K5J157950,172.20.10.127,Brother,MFC-9142CDN,50.17,70.25,30,100,142,773,3050.0,773.0,67,0.44,0.49,2.11,11.53,0.016,0.090
E79028J1N561476,172.20.10.95,Brother,MFC-L3750CDW,64.03,73.94,70,230,130,727,1224.28,316.08,71,0.98,1.07,1.83,10.23,0.052,0.233
RC60609776,172.20.10.131,Kyocera,ECOSYS M6635cidn,135.46,172.89,29,29,2225,1322,12231.03,4558.62,57,0.50,0.16,39.03,23.19,0.011,0.037
E79028J1N561465,172.20.10.121,Brother,MFC-L3750CDW,64.03,73.94,100,260,110,967,1077.0,371.92,70,1.42,1.23,1.57,13.81,0.059,0.198
