Time,User,Page,Data
2022-06-23 10:17:14.144385,Raze,CartStorage,"{'cart': 'TK-8515K', 'num': '1'}"
2022-06-23 10:17:32.673761,Raze,DeviceDetails,"{'ID': 'E79028J1N561476', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
2022-06-23 10:18:10.652292,Raze,DeviceDetails,"{'ID': 'E79028J1N561476', 'deviceId': False, 'location': 'HA 1.OG Raum18', 'contact': 'Herr Zimmerschied', 'notes': False}"
2022-07-04 08:41:25.463636,Raze,DeviceDetails,"{'ID': 'VNN8710351', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
2022-07-04 09:20:01.839082,Raze,DeviceDetails,"{'ID': 'L875533842', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
2022-07-04 09:20:06.105819,Raze,DeviceDetails,"{'ID': 'L875533842', 'deviceId': False, 'location': False, 'contact': False, 'notes': 'OrgaRent (Leasing Device)'}"
2022-07-04 11:17:45.106349,Raze,DeviceDetails,"{'ID': 'E79028J1N591625', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
2022-07-04 11:18:31.158596,Raze,DeviceDetails,"{'ID': 'E79028J1N591625', 'deviceId': False, 'location': 'HA 1.OG Raum 9', 'contact': 'Herr Sieger', 'notes': False}"
2022-07-08 11:56:34.025600,Raze,DeviceDetails,"{'ID': 'E79028J1N561477', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
2022-07-08 11:57:48.573732,Raze,DeviceDetails,"{'ID': 'E79028J1N561477', 'deviceId': 'WJW4147', 'location': 'HA 1.0G Raum 10', 'contact': 'Frau Christina Nnaji', 'notes': False}"
2022-07-08 11:57:58.480880,Raze,CartStorage,"{'cart': 'TN-246Y', 'num': '1'}"
2022-07-11 11:18:59.211611,Raze,DeviceDetails,"{'ID': 'RC60609776', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
2022-07-11 11:20:41.083209,Raze,DeviceDetails,"{'ID': 'RC60609776', 'deviceId': 'WJW3822', 'location': 'HA 1.OG Verwaltung', 'contact': 'Fr. Issiz', 'notes': False}"
2022-07-11 11:21:22.116172,Raze,DeviceDetails,"{'ID': 'W2J8718679', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
2022-07-11 11:21:33.375737,Raze,DeviceDetails,"{'ID': 'W2J8718679', 'deviceId': False, 'location': '1. OG Coachraum', 'contact': ' ', 'notes': 'OrgaRent (Leasing Device)'}"
2022-07-12 08:02:38.186263,Raze,DeviceDetails,"{'ID': 'E74552J5J989713', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
2022-07-12 08:41:19.026795,Raze,DeviceManager,{'add_ip': 'http://172.20.10.10/http://172.20.1.100/'}
2022-07-12 08:41:22.392688,Raze,DeviceManager,{'remove': '172.20.10.10'}
2022-07-12 08:41:23.400457,Raze,DeviceManager,{'remove': '172.20.1.100'}
2022-07-12 08:42:10.109690,Raze,DeviceDetails,"{'ID': 'E79032E1N463928', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
2022-07-12 08:43:28.671177,Raze,DeviceDetails,"{'ID': 'E79032E1N463928', 'deviceId': False, 'location': '2.OG IT Umschüler', 'contact': False, 'notes': False}"
2022-07-12 14:39:24.646447,Raze,DeviceDetails,"{'ID': 'E79032E1N463928', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
2022-07-21 07:45:18.249284,admin,DeviceDetails,"{'ID': 'E79028J0N207300', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
2022-07-21 07:45:40.832855,admin,DeviceDetails,"{'ID': 'E79028J0N207300', 'deviceId': False, 'location': 'Büro Rinderhaltung', 'contact': 'Herr Paul', 'notes': False}"
2022-07-21 07:46:00.353341,admin,DeviceDetails,"{'ID': 'E79028F1N485578', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
