Model,#,CostBK,CostCYM,UsedBK,UsedCYM,PagesBK,PagesCYM,UsedBK_daily,UsedCYM_daily,PagesBK_daily,PagesCYM_daily,CostPerBK,CostPerCYM,PagesPerBK,PagesPerCYM
MFC-9142CDN,9,50.17,70.25,360.0,670.0,4681.0,4978.0,7.17,4.31,13.48,14.13,0.01,0.09,2707.81,743.32
MFC-L3750CDW,13,64.03,73.94,490.0,1250.0,2072.0,6370.0,9.98,8.26,3.57,11.56,0.03,0.15,2511.71,555.25
ECOSYS M2535dn,1,75.37,invalid,20.0,invalid,1237.0,invalid,0.35,invalid,22.08,invalid,0.01,invalid,6185.0,invalid
MFC-L3770CDW,1,64.03,73.94,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid
ECOSYS M3655idn,1,107.23,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid
TASKalfa 3051ci,1,65.78,94.81,22.0,56.0,1565.0,4391.0,0.4,0.33,28.45,79.83,0.00,0.01,27072.72,7841.07
TASKalfa 5052ci,2,55.25,112.04,64.0,89.0,7412.0,11999.0,1.25,0.57,72.96,116.80,0.00,0.00,33698.91,13425.73
TASKalfa 4550ci,1,81.41,122.23,16.0,72.0,635.0,8494.0,0.29,0.43,11.54,154.43,0.00,0.01,57056.25,11797.22
ECOSYS M6635cidn,7,135.46,172.89,27.0,63.0,1540.0,1713.0,0.74,0.55,8.84,9.87,0.01,0.05,11238.33,3623.49
TASKalfa 4002i,1,99.71,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid
MFC-9140CDN,1,49.93,70.65,20.0,10.0,207.0,82.0,0.37,0.06,3.9,1.54,0.03,0.08,1445.0,820.0
MFC-9332CDW,1,50.17,70.25,80.0,260.0,1068.0,1576.0,1.5,1.63,20.15,29.73,0.01,0.11,3305.0,606.15
MFC-L8650CDW,1,50.46,104.75,20.0,60.0,41.0,778.0,0.37,0.37,0.77,14.67,0.01,0.08,4095.0,1296.66
DCP-L3510CDW,3,64.03,73.94,30.0,70.0,175.0,519.0,0.61,0.47,1.82,5.4,0.02,0.09,2245.0,781.5
MFC-9460CDN,4,50.28,104.3,150.0,280.0,2999.0,2076.0,3.07,1.91,20.36,13.97,0.01,0.16,3010.13,863.68
FS-1028MFP,1,95.23,invalid,4.0,invalid,174.0,invalid,0.08,invalid,3.62,invalid,0.02,invalid,4350.0,invalid
MFC-9342CDW,4,50.17,70.25,200.0,320.0,2090.0,2050.0,4.18,2.21,10.94,10.69,0.02,0.11,1918.16,621.82
FS-1320D,1,87.14,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid
