Model,Colored,Scanner,Cart,MethodIndex
MFC-L3750CDW,1,1,TN-247+TN-243,BrotherMFCDefault
MFC-L3770CDW,1,1,TN-247+TN-243,BrotherMFCDefault
DCP-L3510CDW,1,1,TN-247+TN-243,BrotherMFCDefault
MFC-1910W,0,0,TN-1050,BrotherMFCDefault
MFC-9142CDN,1,1,TN-246+TN-242,BrotherMFCDefault
MFC-9342CDW,1,1,TN-246+TN-242,BrotherMFCDefault
MFC-9140CDN,1,1,TN-245+TN-241,BrotherMFCDefault
MFC-L8650CDW,1,1,TN-326+TN-321,BrotherMFCDefault
MFC-9332CDW,1,1,TN-246+TN-242,BrotherMFCDefault
MFC-9450CDN,1,1,TN-135+TN-130,BrotherMFCDefault
MFC-9440CN,1,1,TN-135+TN-130,BrotherMFC9460
MFC-9460CDN,1,1,TN-325+TN-320,BrotherMFC9460
MFC-L2710DN,0,1,TN-2420+TN-2410,BrotherMFCDefault
