Model,Colored,Scanner,Cart,MethodIndex
TASKalfa 5052ci,1,1,override,KyoceraDefault
TASKalfa 4550ci,1,1,override,KyoceraDefault
ECOSYS M6635cidn,1,1,override,KyoceraDefault
FS-1028MFP,0,1,override,KyoceraDefault
TASKalfa 4002i,0,0,override,KyoceraDefault
TASKalfa 3051ci,1,1,override,KyoceraDefault
ECOSYS M2535dn,0,1,override,KyoceraDefault
TASKalfa 4500i,0,1,override,KyoceraDefault
FS-1320D,0,0,override,KyoceraDefault
ECOSYS M3655idn,0,1,override,KyoceraDefault
ECOSYS M2535dn,0,1,override,KyoceraDefault
